Orthogroup	MF599468.1	KC244182.1
OG0000000	MF599468.1_00057, MF599468.1_00056	KC244182.1_00029
OG0000001	MF599468.1_00163	KC244182.1_00008
OG0000002	MF599468.1_00152	KC244182.1_00007
OG0000003	MF599468.1_00011	KC244182.1_00014
OG0000004	MF599468.1_00092	KC244182.1_00112
OG0000005	MF599468.1_00154	KC244182.1_00095
OG0000006	MF599468.1_00010	KC244182.1_00076
OG0000007	MF599468.1_00174	KC244182.1_00090
OG0000008	MF599468.1_00030	KC244182.1_00028
OG0000009	MF599468.1_00075	KC244182.1_00114
OG0000011	MF599468.1_00149	KC244182.1_00063
OG0000012	MF599468.1_00112	KC244182.1_00022
OG0000013	MF599468.1_00033	KC244182.1_00056
OG0000014	MF599468.1_00122	KC244182.1_00121
OG0000015	MF599468.1_00009	KC244182.1_00122
OG0000016	MF599468.1_00046	KC244182.1_00087
OG0000017	MF599468.1_00035	KC244182.1_00032
OG0000018	MF599468.1_00117	KC244182.1_00107
OG0000019	MF599468.1_00106	KC244182.1_00086
OG0000020	MF599468.1_00090	KC244182.1_00030
OG0000021	MF599468.1_00116	KC244182.1_00005
OG0000022	MF599468.1_00071	KC244182.1_00034
OG0000023	MF599468.1_00171	KC244182.1_00043
OG0000026	MF599468.1_00039	KC244182.1_00110
OG0000047	MF599468.1_00013	KC244182.1_00057
OG0000069	MF599468.1_00131	KC244182.1_00098
