Orthogroup	MF599468.1	MK689686.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MK689686.1_00029
OG0000001	MF599468.1_00163	MK689686.1_00008
OG0000002	MF599468.1_00152	MK689686.1_00007
OG0000003	MF599468.1_00011	MK689686.1_00014
OG0000004	MF599468.1_00092	MK689686.1_00110
OG0000005	MF599468.1_00154	MK689686.1_00093
OG0000006	MF599468.1_00010	MK689686.1_00074
OG0000007	MF599468.1_00174	MK689686.1_00088
OG0000008	MF599468.1_00030	MK689686.1_00028
OG0000009	MF599468.1_00075	MK689686.1_00112
OG0000011	MF599468.1_00149	MK689686.1_00062
OG0000012	MF599468.1_00112	MK689686.1_00021
OG0000013	MF599468.1_00033	MK689686.1_00056
OG0000014	MF599468.1_00122	MK689686.1_00120
OG0000015	MF599468.1_00009	MK689686.1_00121
OG0000016	MF599468.1_00046	MK689686.1_00085
OG0000017	MF599468.1_00035	MK689686.1_00032
OG0000018	MF599468.1_00117	MK689686.1_00105
OG0000019	MF599468.1_00106	MK689686.1_00084
OG0000020	MF599468.1_00090	MK689686.1_00030
OG0000021	MF599468.1_00116	MK689686.1_00005
OG0000022	MF599468.1_00071	MK689686.1_00034
OG0000023	MF599468.1_00171	MK689686.1_00043
OG0000026	MF599468.1_00039	MK689686.1_00108
OG0000047	MF599468.1_00013	MK689686.1_00057
OG0000069	MF599468.1_00131	MK689686.1_00096
