Orthogroup	MF599468.1	GQ273492.1
OG0000000	MF599468.1_00057, MF599468.1_00056	GQ273492.1_00030
OG0000001	MF599468.1_00163	GQ273492.1_00008
OG0000002	MF599468.1_00152	GQ273492.1_00007
OG0000003	MF599468.1_00011	GQ273492.1_00015
OG0000004	MF599468.1_00092	GQ273492.1_00108
OG0000005	MF599468.1_00154	GQ273492.1_00092
OG0000006	MF599468.1_00010	GQ273492.1_00073
OG0000007	MF599468.1_00174	GQ273492.1_00087
OG0000008	MF599468.1_00030	GQ273492.1_00029
OG0000009	MF599468.1_00075	GQ273492.1_00110
OG0000011	MF599468.1_00149	GQ273492.1_00063
OG0000012	MF599468.1_00112	GQ273492.1_00022
OG0000013	MF599468.1_00033	GQ273492.1_00056
OG0000014	MF599468.1_00122	GQ273492.1_00118
OG0000015	MF599468.1_00009	GQ273492.1_00119
OG0000016	MF599468.1_00046	GQ273492.1_00084
OG0000017	MF599468.1_00035	GQ273492.1_00033
OG0000018	MF599468.1_00117	GQ273492.1_00103
OG0000019	MF599468.1_00106	GQ273492.1_00083
OG0000020	MF599468.1_00090	GQ273492.1_00031
OG0000021	MF599468.1_00116	GQ273492.1_00005
OG0000022	MF599468.1_00071	GQ273492.1_00035
OG0000023	MF599468.1_00171	GQ273492.1_00044
OG0000026	MF599468.1_00039	GQ273492.1_00106
OG0000047	MF599468.1_00013	GQ273492.1_00057
OG0000069	MF599468.1_00131	GQ273492.1_00095
