	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
Number of genes	203	121	141	113	117	114	179	220	117	157	116	278	174	117	119	119	119	119	119	120	117	133	144	132	113	120	116	116	97	118	117	114	116	117	134	119	118	116	118	121
Number of genes in orthogroups	164	120	95	113	117	112	152	173	117	132	116	120	107	116	119	119	119	119	119	119	117	133	75	132	113	119	116	116	71	118	117	114	116	117	133	119	118	116	118	117
Number of unassigned genes	39	1	46	0	0	2	27	47	0	25	0	158	67	1	0	0	0	0	0	1	0	0	69	0	0	1	0	0	26	0	0	0	0	0	1	0	0	0	0	4
Percentage of genes in orthogroups	80.8	99.2	67.4	100.0	100.0	98.2	84.9	78.6	100.0	84.1	100.0	43.2	61.5	99.1	100.0	100.0	100.0	100.0	100.0	99.2	100.0	100.0	52.1	100.0	100.0	99.2	100.0	100.0	73.2	100.0	100.0	100.0	100.0	100.0	99.3	100.0	100.0	100.0	100.0	96.7
Percentage of unassigned genes	19.2	0.8	32.6	0.0	0.0	1.8	15.1	21.4	0.0	15.9	0.0	56.8	38.5	0.9	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	47.9	0.0	0.0	0.8	0.0	0.0	26.8	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	3.3
Number of orthogroups containing species	144	120	77	113	117	112	132	139	117	118	116	67	69	116	119	119	119	119	119	119	117	125	61	125	113	119	116	116	70	118	117	114	116	117	126	119	118	116	118	117
Percentage of orthogroups containing species	35.3	29.4	18.9	27.7	28.7	27.5	32.4	34.1	28.7	28.9	28.4	16.4	16.9	28.4	29.2	29.2	29.2	29.2	29.2	29.2	28.7	30.6	15.0	30.6	27.7	29.2	28.4	28.4	17.2	28.9	28.7	27.9	28.4	28.7	30.9	29.2	28.9	28.4	28.9	28.7
Number of species-specific orthogroups	0	0	5	0	0	0	0	4	0	0	0	18	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	0	23	0	0	0	0	8	0	0	0	71	24	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	16.3	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	25.5	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
