Orthogroup	AB104413	KT781098
OG0000000	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L
OG0000001	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase
OG0000002	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein
OG0000003	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein
OG0000004	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000005	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000006	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000007	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein
OG0000008	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein
OG0000009	MK689686.1_00012 hypothetical protein	AF371960.1_00013 hypothetical protein
OG0000010	MK689686.1_00013 hypothetical protein	AF371960.1_00014 hypothetical protein
OG0000011	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000012	MK689686.1_00016 hypothetical protein	AF371960.1_00017 hypothetical protein
OG0000013	MK689686.1_00017 hypothetical protein	AF371960.1_00018 hypothetical protein
OG0000014	MK689686.1_00018 hypothetical protein	AF371960.1_00019 hypothetical protein
OG0000015	MK689686.1_00019 hypothetical protein	AF371960.1_00020 hypothetical protein
OG0000016	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000017	MK689686.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein
OG0000018	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000020	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000021	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000022	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein
OG0000023	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein
OG0000024	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein
OG0000025	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein
OG0000026	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein
OG0000027	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein
OG0000028	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein
OG0000029	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein
OG0000030	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein
OG0000031	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein
OG0000032	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein
OG0000033	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein
OG0000034	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein
OG0000035	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein
OG0000036	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein
OG0000037	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein
OG0000038	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein
OG0000039	MK689686.1_00057 hypothetical protein	AF371960.1_00058 hypothetical protein
OG0000040	MK689686.1_00059 hypothetical protein	AF371960.1_00061 hypothetical protein
OG0000041	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein
OG0000042	MK689686.1_00062 hypothetical protein	AF371960.1_00064 hypothetical protein
OG0000043	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein
OG0000044	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein
