Orthogroup	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677
OG0000129		AF371960.1_00028 hypothetical protein																																																								
OG0000130								GQ273492.1_00115 hypothetical protein																																																		
OG0000131										AF371960.1_00028 hypothetical protein																																																
OG0000132												MG570131.1_00022 hypothetical protein																																														
OG0000133																					AF371960.1_00028 hypothetical protein																																					
OG0000134																							AF371960.1_00028 hypothetical protein																																			
OG0000135																										AF371960.1_00028 hypothetical protein																																
OG0000136																												AF371960.1_00028 hypothetical protein																														
OG0000137																														DNA-binding protein_refgen DNA-binding protein																												
OG0000138																															AF371960.1_00117 hypothetical protein																											
OG0000139																																		AF371960.1_00028 hypothetical protein																								
OG0000140																																					AF371960.1_00059 hypothetical protein																					
OG0000141																																							AF371960.1_00028 hypothetical protein																			
OG0000142																																															AF371960.1_00028 hypothetical protein											
OG0000143																																																			AF371960.1_00028 hypothetical protein							
OG0000144																																																				OQ475017.1_00025 OQ475017.1 - hypothetical protein translation						
OG0000145																																																				OQ475017.1_00028 OQ475017.1 - hypothetical protein translation						
OG0000146																																																				OQ475017.1_00089 OQ475017.1 - hypothetical protein translation						
OG0000147																																																				OQ475017.1_00090 OQ475017.1 - hypothetical protein translation						
OG0000148																																																						AF371960.1_00028 hypothetical protein				
