Orthogroup	MK689685.1	AY779031.1
OG0000000	MK689685.1_00029	AY779031.1_00034
OG0000001	MK689685.1_00007	AY779031.1_00007
OG0000002	MK689685.1_00076	AY779031.1_00085
OG0000003	MK689685.1_00008	AY779031.1_00008
OG0000004	MK689685.1_00015	AY779031.1_00015, AY779031.1_00016
OG0000005	MK689685.1_00028	AY779031.1_00033
OG0000006	MK689685.1_00075	AY779031.1_00083
OG0000007	MK689685.1_00089	AY779031.1_00098
OG0000008	MK689685.1_00110	AY779031.1_00121
OG0000009	MK689685.1_00111	AY779031.1_00122
OG0000010	MK689685.1_00005	AY779031.1_00005
OG0000011	MK689685.1_00021	AY779031.1_00023
OG0000012	MK689685.1_00030	AY779031.1_00035
OG0000013	MK689685.1_00032	AY779031.1_00037
OG0000014	MK689685.1_00034	AY779031.1_00039
OG0000015	MK689685.1_00054	AY779031.1_00061
OG0000016	MK689685.1_00061	AY779031.1_00068
OG0000017	MK689685.1_00085	AY779031.1_00094
OG0000018	MK689685.1_00086	AY779031.1_00095
OG0000019	MK689685.1_00105	AY779031.1_00116
OG0000020	MK689685.1_00118	AY779031.1_00129
OG0000021	MK689685.1_00119	AY779031.1_00130
OG0000022	MK689685.1_00043	AY779031.1_00049
OG0000023	MK689685.1_00094	AY779031.1_00103
OG0000024	MK689685.1_00108	AY779031.1_00119
OG0000025	MK689685.1_00062	AY779031.1_00069
OG0000026	MK689685.1_00087	AY779031.1_00096
OG0000027	MK689685.1_00046	AY779031.1_00052
OG0000028	MK689685.1_00006	AY779031.1_00006
OG0000029	MK689685.1_00059	AY779031.1_00066
OG0000030	MK689685.1_00001	AY779031.1_00001
OG0000031	MK689685.1_00079	AY779031.1_00089
OG0000032	MK689685.1_00088	AY779031.1_00097
OG0000033	MK689685.1_00120	AY779031.1_00131
OG0000034	MK689685.1_00013	AY779031.1_00013
OG0000035	MK689685.1_00014	AY779031.1_00014
OG0000036	MK689685.1_00019	AY779031.1_00019
OG0000037	MK689685.1_00020	AY779031.1_00020
OG0000038	MK689685.1_00022	AY779031.1_00024
OG0000039	MK689685.1_00023	AY779031.1_00025
OG0000040	MK689685.1_00031	AY779031.1_00036
OG0000041	MK689685.1_00035	AY779031.1_00040
OG0000042	MK689685.1_00047	AY779031.1_00053
OG0000043	MK689685.1_00048	AY779031.1_00054
OG0000044	MK689685.1_00052	AY779031.1_00059
OG0000045	MK689685.1_00053	AY779031.1_00060
OG0000046	MK689685.1_00055	AY779031.1_00062
OG0000047	MK689685.1_00057	AY779031.1_00063
OG0000048	MK689685.1_00058	AY779031.1_00065
OG0000049	MK689685.1_00077	AY779031.1_00086
OG0000050	MK689685.1_00080	AY779031.1_00090
OG0000051	MK689685.1_00081	AY779031.1_00091
OG0000052	MK689685.1_00093	AY779031.1_00102
OG0000053	MK689685.1_00095	AY779031.1_00104
OG0000054	MK689685.1_00098	AY779031.1_00107
OG0000055	MK689685.1_00109	AY779031.1_00120
OG0000056	MK689685.1_00113	AY779031.1_00125
OG0000057	MK689685.1_00115	AY779031.1_00127
OG0000058	MK689685.1_00002	AY779031.1_00002
OG0000059	MK689685.1_00010	AY779031.1_00010
OG0000061	MK689685.1_00090	AY779031.1_00099
OG0000063	MK689685.1_00070	AY779031.1_00074, AY779031.1_00075
OG0000064	MK689685.1_00017	AY779031.1_00123, AY779031.1_00018
OG0000065	MK689685.1_00037	AY779031.1_00042
OG0000066	MK689685.1_00041	AY779031.1_00047, AY779031.1_00046
OG0000067	MK689685.1_00045	AY779031.1_00051
OG0000068	MK689685.1_00065	AY779031.1_00072
OG0000069	MK689685.1_00097	AY779031.1_00106
OG0000070	MK689685.1_00099	AY779031.1_00110, AY779031.1_00111
OG0000071	MK689685.1_00112	AY779031.1_00124
OG0000072	MK689685.1_00009	AY779031.1_00009
OG0000073	MK689685.1_00012	AY779031.1_00012
OG0000074	MK689685.1_00016	AY779031.1_00017
OG0000075	MK689685.1_00033	AY779031.1_00038
OG0000076	MK689685.1_00036	AY779031.1_00041
OG0000077	MK689685.1_00039	AY779031.1_00044
OG0000078	MK689685.1_00040	AY779031.1_00045
OG0000079	MK689685.1_00044	AY779031.1_00050
OG0000080	MK689685.1_00049	AY779031.1_00055
OG0000081	MK689685.1_00050	AY779031.1_00056
OG0000082	MK689685.1_00051	AY779031.1_00057
OG0000083	MK689685.1_00060	AY779031.1_00067
