Orthogroup	MK689685.1	MN803438.1
OG0000000	MK689685.1_00029	MN803438.1_00124
OG0000001	MK689685.1_00007	MN803438.1_00023
OG0000003	MK689685.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	MK689685.1_00015	MN803438.1_00113
OG0000005	MK689685.1_00028	MN803438.1_00106
OG0000006	MK689685.1_00075	MN803438.1_00142
OG0000007	MK689685.1_00089	MN803438.1_00027
OG0000008	MK689685.1_00110	MN803438.1_00104
OG0000009	MK689685.1_00111	MN803438.1_00109
OG0000010	MK689685.1_00005	MN803438.1_00089
OG0000011	MK689685.1_00021	MN803438.1_00128
OG0000012	MK689685.1_00030	MN803438.1_00068
OG0000013	MK689685.1_00032	MN803438.1_00035
OG0000014	MK689685.1_00034	MN803438.1_00013
OG0000015	MK689685.1_00054	MN803438.1_00007
OG0000016	MK689685.1_00061	MN803438.1_00049
OG0000017	MK689685.1_00085	MN803438.1_00097
OG0000018	MK689685.1_00086	MN803438.1_00122
OG0000019	MK689685.1_00105	MN803438.1_00051
OG0000020	MK689685.1_00118	MN803438.1_00070
OG0000021	MK689685.1_00119	MN803438.1_00046
OG0000022	MK689685.1_00043	MN803438.1_00077
OG0000023	MK689685.1_00094	MN803438.1_00071
OG0000024	MK689685.1_00108	MN803438.1_00126
OG0000026	MK689685.1_00087	MN803438.1_00037
OG0000027	MK689685.1_00046	MN803438.1_00054
OG0000028	MK689685.1_00006	MN803438.1_00145
OG0000129	MK689685.1_00071	MN803438.1_00082
