Orthogroup	MG570132.1	L63545.1
OG0000000	MG570132.1_00031	L63545.1_00007
OG0000001	MG570132.1_00009	L63545.1_00035
OG0000002	MG570132.1_00008, MG570132.1_00007	L63545.1_00079
OG0000003	MG570132.1_00016	L63545.1_00076
OG0000004	MG570132.1_00108	L63545.1_00001
OG0000005	MG570132.1_00092	L63545.1_00056
OG0000006	MG570132.1_00073	L63545.1_00093
OG0000007	MG570132.1_00087	L63545.1_00090
OG0000008	MG570132.1_00030	L63545.1_00108
OG0000009	MG570132.1_00110	L63545.1_00024
OG0000011	MG570132.1_00063	L63545.1_00069
OG0000012	MG570132.1_00023	L63545.1_00071
OG0000013	MG570132.1_00057	L63545.1_00004
OG0000014	MG570132.1_00118	L63545.1_00030
OG0000015	MG570132.1_00119	L63545.1_00110
OG0000016	MG570132.1_00084	L63545.1_00073
OG0000017	MG570132.1_00034	L63545.1_00072
OG0000018	MG570132.1_00103	L63545.1_00068
OG0000019	MG570132.1_00083	L63545.1_00009
OG0000020	MG570132.1_00032	L63545.1_00098
OG0000021	MG570132.1_00005	L63545.1_00043
OG0000022	MG570132.1_00036	L63545.1_00013
OG0000023	MG570132.1_00045	L63545.1_00054
OG0000024	MG570132.1_00028	L63545.1_00015
OG0000026	MG570132.1_00106	L63545.1_00002
OG0000027	MG570132.1_00085	L63545.1_00058
OG0000028	MG570132.1_00048	L63545.1_00003
