Orthogroup	OL774654.1	L63545.1
OG0000000	OL774654.1_00031	L63545.1_00007
OG0000001	OL774654.1_00007	L63545.1_00079
OG0000003	OL774654.1_00008	L63545.1_00035
OG0000004	OL774654.1_00015	L63545.1_00076
OG0000005	OL774654.1_00030	L63545.1_00108
OG0000006	OL774654.1_00075	L63545.1_00093
OG0000007	OL774654.1_00089	L63545.1_00090
OG0000008	OL774654.1_00111	L63545.1_00001
OG0000009	OL774654.1_00113	L63545.1_00024
OG0000010	OL774654.1_00005	L63545.1_00043
OG0000011	OL774654.1_00022	L63545.1_00071
OG0000012	OL774654.1_00032	L63545.1_00098
OG0000013	OL774654.1_00034	L63545.1_00072
OG0000014	OL774654.1_00036	L63545.1_00013
OG0000015	OL774654.1_00057	L63545.1_00004
OG0000016	OL774654.1_00063	L63545.1_00069
OG0000017	OL774654.1_00085	L63545.1_00009
OG0000018	OL774654.1_00086	L63545.1_00073
OG0000019	OL774654.1_00106	L63545.1_00068
OG0000020	OL774654.1_00121	L63545.1_00030
OG0000021	OL774654.1_00122	L63545.1_00110
OG0000022	OL774654.1_00045	L63545.1_00054
OG0000023	OL774654.1_00094	L63545.1_00056
OG0000024	OL774654.1_00109	L63545.1_00002
OG0000026	OL774654.1_00087	L63545.1_00058
OG0000027	OL774654.1_00048	L63545.1_00003
