Orthogroup	OL774654.1	OM037668.1
OG0000000	OL774654.1_00031	OM037668.1_00035
OG0000001	OL774654.1_00007	OM037668.1_00057
OG0000002	OL774654.1_00076	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000003	OL774654.1_00008	OM037668.1_00056
OG0000004	OL774654.1_00015	OM037668.1_00050
OG0000005	OL774654.1_00030	OM037668.1_00038
OG0000006	OL774654.1_00075	OM037668.1_00021
OG0000007	OL774654.1_00089	OM037668.1_00084
OG0000008	OL774654.1_00111	OM037668.1_00076
OG0000009	OL774654.1_00113	OM037668.1_00077
OG0000010	OL774654.1_00005	OM037668.1_00013
OG0000011	OL774654.1_00022	OM037668.1_00041
OG0000012	OL774654.1_00032	OM037668.1_00123
OG0000013	OL774654.1_00034	OM037668.1_00124
OG0000014	OL774654.1_00036	OM037668.1_00127
OG0000015	OL774654.1_00057	OM037668.1_00098
OG0000016	OL774654.1_00063	OM037668.1_00009
OG0000017	OL774654.1_00085	OM037668.1_00090
OG0000018	OL774654.1_00086	OM037668.1_00089
OG0000019	OL774654.1_00106	OM037668.1_00073
OG0000020	OL774654.1_00121	OM037668.1_00078
OG0000021	OL774654.1_00122	OM037668.1_00004
OG0000022	OL774654.1_00045	OM037668.1_00113
OG0000023	OL774654.1_00094	OM037668.1_00080
OG0000024	OL774654.1_00109	OM037668.1_00074
OG0000025	OL774654.1_00064	OM037668.1_00024
OG0000026	OL774654.1_00087	OM037668.1_00087
OG0000027	OL774654.1_00048	OM037668.1_00110
OG0000028	OL774654.1_00006	OM037668.1_00011
OG0000029	OL774654.1_00061	OM037668.1_00095
OG0000030	OL774654.1_00001	OM037668.1_00030
OG0000031	OL774654.1_00080	OM037668.1_00019
OG0000032	OL774654.1_00088	OM037668.1_00086
OG0000033	OL774654.1_00123	OM037668.1_00028
OG0000034	OL774654.1_00013	OM037668.1_00051
OG0000035	OL774654.1_00014	OM037668.1_00005
OG0000036	OL774654.1_00019	OM037668.1_00046
OG0000037	OL774654.1_00020	OM037668.1_00045
OG0000038	OL774654.1_00023	OM037668.1_00040
OG0000039	OL774654.1_00024	OM037668.1_00048
OG0000040	OL774654.1_00033	OM037668.1_00003
OG0000041	OL774654.1_00037	OM037668.1_00122
OG0000042	OL774654.1_00049	OM037668.1_00106
OG0000043	OL774654.1_00050	OM037668.1_00105
OG0000044	OL774654.1_00055	OM037668.1_00100
OG0000045	OL774654.1_00056	OM037668.1_00099
OG0000046	OL774654.1_00058	OM037668.1_00097
OG0000047	OL774654.1_00059	OM037668.1_00085
OG0000048	OL774654.1_00060	OM037668.1_00096
OG0000049	OL774654.1_00077	OM037668.1_00020
OG0000050	OL774654.1_00081	OM037668.1_00018
OG0000051	OL774654.1_00082	OM037668.1_00130
OG0000052	OL774654.1_00093	OM037668.1_00081
OG0000053	OL774654.1_00095	OM037668.1_00032
OG0000054	OL774654.1_00098	OM037668.1_00033
OG0000055	OL774654.1_00110	OM037668.1_00075
OG0000056	OL774654.1_00115	OM037668.1_00079
OG0000057	OL774654.1_00117	OM037668.1_00134
OG0000058	OL774654.1_00002	OM037668.1_00031
OG0000059	OL774654.1_00010	OM037668.1_00054
OG0000060	OL774654.1_00018	OM037668.1_00047
OG0000061	OL774654.1_00090	OM037668.1_00083
OG0000062	OL774654.1_00027	OM037668.1_00064
OG0000096	OL774654.1_00119	OM037668.1_00091
OG0000113	OL774654.1_00021	OM037668.1_00042
OG0000114	OL774654.1_00011	OM037668.1_00053
