Orthogroup	OL774654.1	HF920637.1
OG0000000	OL774654.1_00031	HF920637.1_00129, HF920637.1_00164
OG0000001	OL774654.1_00007	HF920637.1_00143
OG0000003	OL774654.1_00008	HF920637.1_00059
OG0000004	OL774654.1_00015	HF920637.1_00159
OG0000005	OL774654.1_00030	HF920637.1_00176, HF920637.1_00175
OG0000006	OL774654.1_00075	HF920637.1_00121
OG0000007	OL774654.1_00089	HF920637.1_00172
OG0000008	OL774654.1_00111	HF920637.1_00025
OG0000009	OL774654.1_00113	HF920637.1_00153
OG0000010	OL774654.1_00005	HF920637.1_00041
OG0000011	OL774654.1_00022	HF920637.1_00001
OG0000012	OL774654.1_00032	HF920637.1_00031
OG0000013	OL774654.1_00034	HF920637.1_00073
OG0000014	OL774654.1_00036	HF920637.1_00213
OG0000015	OL774654.1_00057	HF920637.1_00017
OG0000016	OL774654.1_00063	HF920637.1_00217
OG0000017	OL774654.1_00085	HF920637.1_00197
OG0000018	OL774654.1_00086	HF920637.1_00079
OG0000019	OL774654.1_00106	HF920637.1_00111
OG0000020	OL774654.1_00121	HF920637.1_00108
OG0000021	OL774654.1_00122	HF920637.1_00152
OG0000022	OL774654.1_00045	HF920637.1_00033
OG0000023	OL774654.1_00094	HF920637.1_00221
OG0000024	OL774654.1_00109	HF920637.1_00203
OG0000025	OL774654.1_00064	HF920637.1_00156
OG0000028	OL774654.1_00006	HF920637.1_00127
