Orthogroup	AF303741	NC_005946
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	NC_005946.1_00010 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	AF303741.1_00158 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000005	AF303741.1_00125 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000006	AF303741.1_00011 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000007	AF303741.1_00156 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000008	AF303741.1_00063 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000009	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	AF303741.1_00023 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	AF303741.1_00006 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	AF303741.1_00137 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	AF303741.1_00149 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	AF303741.1_00081 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	AF303741.1_00026 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	AF303741.1_00046 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000018	AF303741.1_00132 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000019	AF303741.1_00062 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000020	AF303741.1_00129 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000021	AF303741.1_00080 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000022	AF303741.1_00154 FAD-linked sulfhydryl oxidase	NC_005946.1_00089 hypothetical protein
OG0000126	AF303741.1_00170 hypothetical protein	NC_005946.1_00020 hypothetical protein
OG0000132	AF303741.1_00126 hypothetical protein	NC_005946.1_00001 hypothetical protein
OG0000134	AF303741.1_00031 hypothetical protein	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000140	AF303741.1_00072 hypothetical protein	NC_005946.1_00054 hypothetical protein
OG0000149	AF303741.1_00192 hypothetical protein	NC_005946.1_00063 Deoxyuridine
OG0000165	AF303741.1_00105 hypothetical protein	NC_005946.1_00004 hypothetical protein
