Orthogroup	Decap_MF599468.1	Irido_IIV6_AF303741.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Decap_MF599468.1_00152	Irido_IIV6_AF303741.1_00125
OG0000002	Decap_MF599468.1_00163	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Decap_MF599468.1_00011	Irido_IIV6_AF303741.1_00035
OG0000004	Decap_MF599468.1_00092	Irido_IIV6_AF303741.1_00080
OG0000005	Decap_MF599468.1_00174	Irido_IIV6_AF303741.1_00149
OG0000006	Decap_MF599468.1_00030	Irido_IIV6_AF303741.1_00165
OG0000007	Decap_MF599468.1_00010	Irido_IIV6_AF303741.1_00132
OG0000008	Decap_MF599468.1_00075	Irido_IIV6_AF303741.1_00176
OG0000009	Decap_MF599468.1_00154	Irido_IIV6_AF303741.1_00129
OG0000011	Decap_MF599468.1_00106	Irido_IIV6_AF303741.1_00137
OG0000012	Decap_MF599468.1_00071	Irido_IIV6_AF303741.1_00189
OG0000013	Decap_MF599468.1_00117	Irido_IIV6_AF303741.1_00081
OG0000014	Decap_MF599468.1_00046	Irido_IIV6_AF303741.1_00062
OG0000015	Decap_MF599468.1_00090	Irido_IIV6_AF303741.1_00156
OG0000016	Decap_MF599468.1_00112	Irido_IIV6_AF303741.1_00011
OG0000017	Decap_MF599468.1_00033	Irido_IIV6_AF303741.1_00023
OG0000018	Decap_MF599468.1_00122	Irido_IIV6_AF303741.1_00026
OG0000019	Decap_MF599468.1_00149	Irido_IIV6_AF303741.1_00006
OG0000020	Decap_MF599468.1_00009	Irido_IIV6_AF303741.1_00046
OG0000021	Decap_MF599468.1_00035	Irido_IIV6_AF303741.1_00063
OG0000022	Decap_MF599468.1_00116	Irido_IIV6_AF303741.1_00158
OG0000023	Decap_MF599468.1_00171	Irido_IIV6_AF303741.1_00154
OG0000113	Decap_MF599468.1_00096	Irido_IIV6_AF303741.1_00170
OG0000113	Decap_MF599468.1_00045	Irido_IIV6_AF303741.1_00169
OG0000122	Decap_MF599468.1_00024, Decap_MF599468.1_00104, Decap_MF599468.1_00101, Decap_MF599468.1_00023, Decap_MF599468.1_00038, Decap_MF599468.1_00070, Decap_MF599468.1_00145, Decap_MF599468.1_00054, Decap_MF599468.1_00055, Decap_MF599468.1_00091, Decap_MF599468.1_00128, Decap_MF599468.1_00103, Decap_MF599468.1_00029, Decap_MF599468.1_00099, Decap_MF599468.1_00100, Decap_MF599468.1_00114, Decap_MF599468.1_00102	Irido_IIV6_AF303741.1_00005, Irido_IIV6_AF303741.1_00065
OG0000133	Decap_MF599468.1_00027	Irido_IIV6_AF303741.1_00157
OG0000134	Decap_MF599468.1_00002	Irido_IIV6_AF303741.1_00126
OG0000138	Decap_MF599468.1_00051	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162
OG0000148	Decap_MF599468.1_00161	Irido_IIV6_AF303741.1_00072
OG0000154	Decap_MF599468.1_00074	Irido_IIV6_AF303741.1_00183
OG0000156	Decap_MF599468.1_00142	Irido_IIV6_AF303741.1_00192
OG0000168	Decap_MF599468.1_00081	Irido_IIV6_AF303741.1_00105
OG0000169	Decap_MF599468.1_00141	Irido_IIV6_AF303741.1_00056
OG0000170	Decap_MF599468.1_00162	Irido_IIV6_AF303741.1_00087
OG0000171	Decap_MF599468.1_00004	Irido_IIV6_AF303741.1_00076
OG0000172	Decap_MF599468.1_00105	Irido_IIV6_AF303741.1_00096
OG0000173	Decap_MF599468.1_00067	Irido_IIV6_AF303741.1_00091
OG0000174	Decap_MF599468.1_00155	Irido_IIV6_AF303741.1_00179
OG0000178	Decap_MF599468.1_00098	Irido_IIV6_AF303741.1_00117
OG0000186	Decap_MF599468.1_00037	Irido_IIV6_AF303741.1_00017
OG0000188	Decap_MF599468.1_00172	Irido_IIV6_AF303741.1_00148
OG0000189	Decap_MF599468.1_00052, Decap_MF599468.1_00061	Irido_IIV6_AF303741.1_00104
OG0000191	Decap_MF599468.1_00065	Irido_IIV6_AF303741.1_00161
OG0000193	Decap_MF599468.1_00025	Irido_IIV6_AF303741.1_00085
OG0000195	Decap_MF599468.1_00129	Irido_IIV6_AF303741.1_00003
OG0000196	Decap_MF599468.1_00022	Irido_IIV6_AF303741.1_00004
OG0000197	Decap_MF599468.1_00015	Irido_IIV6_AF303741.1_00136
OG0000200	Decap_MF599468.1_00079	Irido_IIV6_AF303741.1_00015
OG0000201	Decap_MF599468.1_00044	Irido_IIV6_AF303741.1_00150
OG0000202	Decap_MF599468.1_00125	Irido_IIV6_AF303741.1_00197
OG0000203	Decap_MF599468.1_00043	Irido_IIV6_AF303741.1_00112
OG0000206	Decap_MF599468.1_00016	Irido_IIV6_AF303741.1_00174
OG0000295	Decap_MF599468.1_00072	Irido_IIV6_AF303741.1_00077
OG0000296	Decap_MF599468.1_00107	Irido_IIV6_AF303741.1_00202
