Orthogroup	Decap_MF599468.1	MCV_MP1_RSIV_OK042109.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	MCV_MP1_RSIV_OK042109.1_00047
OG0000001	Decap_MF599468.1_00152	MCV_MP1_RSIV_OK042109.1_00069
OG0000002	Decap_MF599468.1_00163	MCV_MP1_RSIV_OK042109.1_00068
OG0000003	Decap_MF599468.1_00011	MCV_MP1_RSIV_OK042109.1_00061
OG0000004	Decap_MF599468.1_00092	MCV_MP1_RSIV_OK042109.1_00088
OG0000005	Decap_MF599468.1_00174	MCV_MP1_RSIV_OK042109.1_00110
OG0000006	Decap_MF599468.1_00030	MCV_MP1_RSIV_OK042109.1_00048
OG0000007	Decap_MF599468.1_00010	MCV_MP1_RSIV_OK042109.1_00001
OG0000008	Decap_MF599468.1_00075	MCV_MP1_RSIV_OK042109.1_00086
OG0000009	Decap_MF599468.1_00154	MCV_MP1_RSIV_OK042109.1_00105
OG0000011	Decap_MF599468.1_00106	MCV_MP1_RSIV_OK042109.1_00114
OG0000012	Decap_MF599468.1_00071	MCV_MP1_RSIV_OK042109.1_00042
OG0000013	Decap_MF599468.1_00117	MCV_MP1_RSIV_OK042109.1_00093
OG0000014	Decap_MF599468.1_00046	MCV_MP1_RSIV_OK042109.1_00113
OG0000015	Decap_MF599468.1_00090	MCV_MP1_RSIV_OK042109.1_00046
OG0000016	Decap_MF599468.1_00112	MCV_MP1_RSIV_OK042109.1_00054
OG0000017	Decap_MF599468.1_00033	MCV_MP1_RSIV_OK042109.1_00020
OG0000018	Decap_MF599468.1_00122	MCV_MP1_RSIV_OK042109.1_00078
OG0000019	Decap_MF599468.1_00149	MCV_MP1_RSIV_OK042109.1_00013
OG0000020	Decap_MF599468.1_00009	MCV_MP1_RSIV_OK042109.1_00077
OG0000021	Decap_MF599468.1_00035	MCV_MP1_RSIV_OK042109.1_00044
OG0000022	Decap_MF599468.1_00116	MCV_MP1_RSIV_OK042109.1_00071
OG0000023	Decap_MF599468.1_00171	MCV_MP1_RSIV_OK042109.1_00033
OG0000026	Decap_MF599468.1_00039	MCV_MP1_RSIV_OK042109.1_00090
OG0000035	Decap_MF599468.1_00013	MCV_MP1_RSIV_OK042109.1_00019
OG0000065	Decap_MF599468.1_00131	MCV_MP1_RSIV_OK042109.1_00102
