Orthogroup	Decap_MF599468.1	MCV_Unclassified_MG570131.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	MCV_Unclassified_MG570131.1_00031
OG0000001	Decap_MF599468.1_00152	MCV_Unclassified_MG570131.1_00008, MCV_Unclassified_MG570131.1_00007
OG0000002	Decap_MF599468.1_00163	MCV_Unclassified_MG570131.1_00009
OG0000003	Decap_MF599468.1_00011	MCV_Unclassified_MG570131.1_00016
OG0000004	Decap_MF599468.1_00092	MCV_Unclassified_MG570131.1_00108
OG0000005	Decap_MF599468.1_00174	MCV_Unclassified_MG570131.1_00087
OG0000006	Decap_MF599468.1_00030	MCV_Unclassified_MG570131.1_00030
OG0000007	Decap_MF599468.1_00010	MCV_Unclassified_MG570131.1_00073
OG0000008	Decap_MF599468.1_00075	MCV_Unclassified_MG570131.1_00110
OG0000009	Decap_MF599468.1_00154	MCV_Unclassified_MG570131.1_00092
OG0000011	Decap_MF599468.1_00106	MCV_Unclassified_MG570131.1_00083
OG0000012	Decap_MF599468.1_00071	MCV_Unclassified_MG570131.1_00036
OG0000013	Decap_MF599468.1_00117	MCV_Unclassified_MG570131.1_00103
OG0000014	Decap_MF599468.1_00046	MCV_Unclassified_MG570131.1_00084
OG0000015	Decap_MF599468.1_00090	MCV_Unclassified_MG570131.1_00032
OG0000016	Decap_MF599468.1_00112	MCV_Unclassified_MG570131.1_00023
OG0000017	Decap_MF599468.1_00033	MCV_Unclassified_MG570131.1_00057
OG0000018	Decap_MF599468.1_00122	MCV_Unclassified_MG570131.1_00118
OG0000019	Decap_MF599468.1_00149	MCV_Unclassified_MG570131.1_00063
OG0000020	Decap_MF599468.1_00009	MCV_Unclassified_MG570131.1_00119
OG0000021	Decap_MF599468.1_00035	MCV_Unclassified_MG570131.1_00034
OG0000022	Decap_MF599468.1_00116	MCV_Unclassified_MG570131.1_00005
OG0000023	Decap_MF599468.1_00171	MCV_Unclassified_MG570131.1_00045
OG0000026	Decap_MF599468.1_00039	MCV_Unclassified_MG570131.1_00106
OG0000035	Decap_MF599468.1_00013	MCV_Unclassified_MG570131.1_00058
OG0000065	Decap_MF599468.1_00131	MCV_Unclassified_MG570131.1_00095
