Orthogroup	Decap_MF599468.1	Rana_SGIV_AY521625.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Rana_SGIV_AY521625.1_00091
OG0000001	Decap_MF599468.1_00152	Rana_SGIV_AY521625.1_00064
OG0000002	Decap_MF599468.1_00163	Rana_SGIV_AY521625.1_00077
OG0000003	Decap_MF599468.1_00011	Rana_SGIV_AY521625.1_00130
OG0000004	Decap_MF599468.1_00092	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Decap_MF599468.1_00174	Rana_SGIV_AY521625.1_00016
OG0000006	Decap_MF599468.1_00030	Rana_SGIV_AY521625.1_00085
OG0000007	Decap_MF599468.1_00010	Rana_SGIV_AY521625.1_00051
OG0000008	Decap_MF599468.1_00075	Rana_SGIV_AY521625.1_00142
OG0000009	Decap_MF599468.1_00154	Rana_SGIV_AY521625.1_00100
OG0000011	Decap_MF599468.1_00106	Rana_SGIV_AY521625.1_00086
OG0000012	Decap_MF599468.1_00071	Rana_SGIV_AY521625.1_00065
OG0000013	Decap_MF599468.1_00117	Rana_SGIV_AY521625.1_00047
OG0000014	Decap_MF599468.1_00046	Rana_SGIV_AY521625.1_00073
OG0000015	Decap_MF599468.1_00090	Rana_SGIV_AY521625.1_00074
OG0000016	Decap_MF599468.1_00112	Rana_SGIV_AY521625.1_00110
OG0000017	Decap_MF599468.1_00033	Rana_SGIV_AY521625.1_00048
OG0000018	Decap_MF599468.1_00122	Rana_SGIV_AY521625.1_00115
OG0000019	Decap_MF599468.1_00149	Rana_SGIV_AY521625.1_00053
OG0000020	Decap_MF599468.1_00009	Rana_SGIV_AY521625.1_00035
OG0000021	Decap_MF599468.1_00035	Rana_SGIV_AY521625.1_00059
OG0000022	Decap_MF599468.1_00116	Rana_SGIV_AY521625.1_00054
OG0000023	Decap_MF599468.1_00171	Rana_SGIV_AY521625.1_00062
OG0000026	Decap_MF599468.1_00039	Rana_SGIV_AY521625.1_00060
OG0000113	Decap_MF599468.1_00096	Rana_SGIV_AY521625.1_00036
OG0000133	Decap_MF599468.1_00027	Rana_SGIV_AY521625.1_00102
OG0000134	Decap_MF599468.1_00002	Rana_SGIV_AY521625.1_00098
OG0000148	Decap_MF599468.1_00161	Rana_SGIV_AY521625.1_00133
OG0000152	Decap_MF599468.1_00060	Rana_SGIV_AY521625.1_00018
OG0000156	Decap_MF599468.1_00142	Rana_SGIV_AY521625.1_00044
OG0000160	Decap_MF599468.1_00156, Decap_MF599468.1_00066	Rana_SGIV_AY521625.1_00126
OG0000168	Decap_MF599468.1_00081	Rana_SGIV_AY521625.1_00014
OG0000177	Decap_MF599468.1_00089, Decap_MF599468.1_00108	Rana_SGIV_AY521625.1_00011
OG0000205	Decap_MF599468.1_00006	Rana_SGIV_AY521625.1_00066
OG0000231	Decap_MF599468.1_00062	Rana_SGIV_AY521625.1_00057
OG0000354	Decap_MF599468.1_00076	Rana_SGIV_AY521625.1_00089
