Orthogroup	Decap_MF599468.1	Daphi_LS484712.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Daphi_LS484712.1_00114
OG0000001	Decap_MF599468.1_00152	Daphi_LS484712.1_00142
OG0000002	Decap_MF599468.1_00163	Daphi_LS484712.1_00095
OG0000003	Decap_MF599468.1_00011	Daphi_LS484712.1_00187
OG0000005	Decap_MF599468.1_00174	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	Decap_MF599468.1_00030	Daphi_LS484712.1_00248
OG0000007	Decap_MF599468.1_00010	Daphi_LS484712.1_00040
OG0000008	Decap_MF599468.1_00075	Daphi_LS484712.1_00130
OG0000009	Decap_MF599468.1_00154	Daphi_LS484712.1_00256
OG0000011	Decap_MF599468.1_00106	Daphi_LS484712.1_00192
OG0000012	Decap_MF599468.1_00071	Daphi_LS484712.1_00194
OG0000013	Decap_MF599468.1_00117	Daphi_LS484712.1_00053
OG0000014	Decap_MF599468.1_00046	Daphi_LS484712.1_00048
OG0000015	Decap_MF599468.1_00090	Daphi_LS484712.1_00188
OG0000016	Decap_MF599468.1_00112	Daphi_LS484712.1_00200
OG0000017	Decap_MF599468.1_00033	Daphi_LS484712.1_00143
OG0000018	Decap_MF599468.1_00122	Daphi_LS484712.1_00202
OG0000019	Decap_MF599468.1_00149	Daphi_LS484712.1_00203
OG0000020	Decap_MF599468.1_00009	Daphi_LS484712.1_00135
OG0000021	Decap_MF599468.1_00035	Daphi_LS484712.1_00240
OG0000022	Decap_MF599468.1_00116	Daphi_LS484712.1_00096
OG0000023	Decap_MF599468.1_00171	Daphi_LS484712.1_00117
OG0000133	Decap_MF599468.1_00027	Daphi_LS484712.1_00197
OG0000134	Decap_MF599468.1_00002	Daphi_LS484712.1_00057
OG0000138	Decap_MF599468.1_00051	Daphi_LS484712.1_00063
OG0000148	Decap_MF599468.1_00161	Daphi_LS484712.1_00133
OG0000169	Decap_MF599468.1_00141	Daphi_LS484712.1_00116
OG0000170	Decap_MF599468.1_00162	Daphi_LS484712.1_00195
OG0000171	Decap_MF599468.1_00004	Daphi_LS484712.1_00140
OG0000172	Decap_MF599468.1_00105	Daphi_LS484712.1_00112
OG0000173	Decap_MF599468.1_00067	Daphi_LS484712.1_00212
OG0000174	Decap_MF599468.1_00155	Daphi_LS484712.1_00184
