Orthogroup	Irido_IIV31_HF920637.1	MCV_Unlassified_OL310752.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	Irido_IIV31_HF920637.1_00143	MCV_Unlassified_OL310752.1_00019
OG0000002	Irido_IIV31_HF920637.1_00059	MCV_Unlassified_OL310752.1_00018
OG0000003	Irido_IIV31_HF920637.1_00159	MCV_Unlassified_OL310752.1_00012
OG0000004	Irido_IIV31_HF920637.1_00025	MCV_Unlassified_OL310752.1_00060
OG0000005	Irido_IIV31_HF920637.1_00172	MCV_Unlassified_OL310752.1_00042
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	MCV_Unlassified_OL310752.1_00107
OG0000007	Irido_IIV31_HF920637.1_00121	MCV_Unlassified_OL310752.1_00078
OG0000008	Irido_IIV31_HF920637.1_00153	MCV_Unlassified_OL310752.1_00116
OG0000009	Irido_IIV31_HF920637.1_00221	MCV_Unlassified_OL310752.1_00036
OG0000011	Irido_IIV31_HF920637.1_00197	MCV_Unlassified_OL310752.1_00046
OG0000012	Irido_IIV31_HF920637.1_00213	MCV_Unlassified_OL310752.1_00083
OG0000013	Irido_IIV31_HF920637.1_00111	MCV_Unlassified_OL310752.1_00065
OG0000014	Irido_IIV31_HF920637.1_00079	MCV_Unlassified_OL310752.1_00045
OG0000015	Irido_IIV31_HF920637.1_00031	MCV_Unlassified_OL310752.1_00114
OG0000016	Irido_IIV31_HF920637.1_00001	MCV_Unlassified_OL310752.1_00004
OG0000017	Irido_IIV31_HF920637.1_00017	MCV_Unlassified_OL310752.1_00096
OG0000018	Irido_IIV31_HF920637.1_00108	MCV_Unlassified_OL310752.1_00071
OG0000019	Irido_IIV31_HF920637.1_00217	MCV_Unlassified_OL310752.1_00027
OG0000020	Irido_IIV31_HF920637.1_00152	MCV_Unlassified_OL310752.1_00072
OG0000021	Irido_IIV31_HF920637.1_00073	MCV_Unlassified_OL310752.1_00085
OG0000022	Irido_IIV31_HF920637.1_00041	MCV_Unlassified_OL310752.1_00021
OG0000023	Irido_IIV31_HF920637.1_00033	MCV_Unlassified_OL310752.1_00052
OG0000024	Irido_IIV31_HF920637.1_00061	MCV_Unlassified_OL310752.1_00104
OG0000025	Irido_IIV31_HF920637.1_00156	MCV_Unlassified_OL310752.1_00028
OG0000030	Irido_IIV31_HF920637.1_00127	MCV_Unlassified_OL310752.1_00020
