Orthogroup	Irido_IIV31_HF920637.1	Lymph_LCD4_MN803438.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Lymph_LCD4_MN803438.1_00124
OG0000001	Irido_IIV31_HF920637.1_00143	Lymph_LCD4_MN803438.1_00023
OG0000002	Irido_IIV31_HF920637.1_00059	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	Irido_IIV31_HF920637.1_00159	Lymph_LCD4_MN803438.1_00113
OG0000004	Irido_IIV31_HF920637.1_00025	Lymph_LCD4_MN803438.1_00104
OG0000005	Irido_IIV31_HF920637.1_00172	Lymph_LCD4_MN803438.1_00027
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Lymph_LCD4_MN803438.1_00106
OG0000007	Irido_IIV31_HF920637.1_00121	Lymph_LCD4_MN803438.1_00142
OG0000008	Irido_IIV31_HF920637.1_00153	Lymph_LCD4_MN803438.1_00109
OG0000009	Irido_IIV31_HF920637.1_00221	Lymph_LCD4_MN803438.1_00071
OG0000011	Irido_IIV31_HF920637.1_00197	Lymph_LCD4_MN803438.1_00097
OG0000012	Irido_IIV31_HF920637.1_00213	Lymph_LCD4_MN803438.1_00013
OG0000013	Irido_IIV31_HF920637.1_00111	Lymph_LCD4_MN803438.1_00051
OG0000014	Irido_IIV31_HF920637.1_00079	Lymph_LCD4_MN803438.1_00122
OG0000015	Irido_IIV31_HF920637.1_00031	Lymph_LCD4_MN803438.1_00068
OG0000016	Irido_IIV31_HF920637.1_00001	Lymph_LCD4_MN803438.1_00128
OG0000017	Irido_IIV31_HF920637.1_00017	Lymph_LCD4_MN803438.1_00007
OG0000018	Irido_IIV31_HF920637.1_00108	Lymph_LCD4_MN803438.1_00070
OG0000019	Irido_IIV31_HF920637.1_00217	Lymph_LCD4_MN803438.1_00049
OG0000020	Irido_IIV31_HF920637.1_00152	Lymph_LCD4_MN803438.1_00046
OG0000021	Irido_IIV31_HF920637.1_00073	Lymph_LCD4_MN803438.1_00035
OG0000022	Irido_IIV31_HF920637.1_00041	Lymph_LCD4_MN803438.1_00089
OG0000023	Irido_IIV31_HF920637.1_00033	Lymph_LCD4_MN803438.1_00077
OG0000024	Irido_IIV31_HF920637.1_00061	Lymph_LCD4_MN803438.1_00024
OG0000030	Irido_IIV31_HF920637.1_00127	Lymph_LCD4_MN803438.1_00145
OG0000113	Irido_IIV31_HF920637.1_00138	Lymph_LCD4_MN803438.1_00112
OG0000113	Irido_IIV31_HF920637.1_00148, Irido_IIV31_HF920637.1_00077	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125
OG0000133	Irido_IIV31_HF920637.1_00014	Lymph_LCD4_MN803438.1_00006
OG0000134	Irido_IIV31_HF920637.1_00219	Lymph_LCD4_MN803438.1_00115
OG0000137	Irido_IIV31_HF920637.1_00105	Lymph_LCD4_MN803438.1_00105
OG0000138	Irido_IIV31_HF920637.1_00181	Lymph_LCD4_MN803438.1_00137
OG0000139	Irido_IIV31_HF920637.1_00123	Lymph_LCD4_MN803438.1_00005
OG0000154	Irido_IIV31_HF920637.1_00168	Lymph_LCD4_MN803438.1_00135
OG0000160	Irido_IIV31_HF920637.1_00072	Lymph_LCD4_MN803438.1_00078
OG0000198	Irido_IIV31_HF920637.1_00024	Lymph_LCD4_MN803438.1_00045
