Orthogroup	Irido_IIV31_HF920637.1	Chlor_AMIV_KF938901.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Chlor_AMIV_KF938901.1_00126
OG0000001	Irido_IIV31_HF920637.1_00143	Chlor_AMIV_KF938901.1_00044
OG0000002	Irido_IIV31_HF920637.1_00059	Chlor_AMIV_KF938901.1_00080
OG0000003	Irido_IIV31_HF920637.1_00159	Chlor_AMIV_KF938901.1_00005
OG0000004	Irido_IIV31_HF920637.1_00025	Chlor_AMIV_KF938901.1_00043
OG0000005	Irido_IIV31_HF920637.1_00172	Chlor_AMIV_KF938901.1_00053
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Chlor_AMIV_KF938901.1_00067
OG0000007	Irido_IIV31_HF920637.1_00121	Chlor_AMIV_KF938901.1_00072
OG0000008	Irido_IIV31_HF920637.1_00153	Chlor_AMIV_KF938901.1_00114
OG0000009	Irido_IIV31_HF920637.1_00221	Chlor_AMIV_KF938901.1_00125
OG0000011	Irido_IIV31_HF920637.1_00197	Chlor_AMIV_KF938901.1_00012
OG0000012	Irido_IIV31_HF920637.1_00213	Chlor_AMIV_KF938901.1_00023
OG0000013	Irido_IIV31_HF920637.1_00111	Chlor_AMIV_KF938901.1_00025
OG0000014	Irido_IIV31_HF920637.1_00079	Chlor_AMIV_KF938901.1_00046
OG0000015	Irido_IIV31_HF920637.1_00031	Chlor_AMIV_KF938901.1_00047
OG0000016	Irido_IIV31_HF920637.1_00001	Chlor_AMIV_KF938901.1_00054
OG0000017	Irido_IIV31_HF920637.1_00017	Chlor_AMIV_KF938901.1_00060
OG0000018	Irido_IIV31_HF920637.1_00108	Chlor_AMIV_KF938901.1_00074
OG0000019	Irido_IIV31_HF920637.1_00217	Chlor_AMIV_KF938901.1_00092
OG0000020	Irido_IIV31_HF920637.1_00152	Chlor_AMIV_KF938901.1_00095
OG0000021	Irido_IIV31_HF920637.1_00073	Chlor_AMIV_KF938901.1_00123
OG0000022	Irido_IIV31_HF920637.1_00041	Chlor_AMIV_KF938901.1_00124
OG0000023	Irido_IIV31_HF920637.1_00033	Chlor_AMIV_KF938901.1_00031
OG0000024	Irido_IIV31_HF920637.1_00061	Chlor_AMIV_KF938901.1_00094
OG0000025	Irido_IIV31_HF920637.1_00156	Chlor_AMIV_KF938901.1_00093
OG0000113	Irido_IIV31_HF920637.1_00148	Chlor_AMIV_KF938901.1_00104
OG0000119	Irido_IIV31_HF920637.1_00184, Irido_IIV31_HF920637.1_00034, Irido_IIV31_HF920637.1_00206, Irido_IIV31_HF920637.1_00096, Irido_IIV31_HF920637.1_00158, Irido_IIV31_HF920637.1_00208, Irido_IIV31_HF920637.1_00130, Irido_IIV31_HF920637.1_00102	Chlor_AMIV_KF938901.1_00085, Chlor_AMIV_KF938901.1_00140
OG0000123	Irido_IIV31_HF920637.1_00029	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091, Chlor_AMIV_KF938901.1_00020
OG0000133	Irido_IIV31_HF920637.1_00014	Chlor_AMIV_KF938901.1_00007
OG0000134	Irido_IIV31_HF920637.1_00219	Chlor_AMIV_KF938901.1_00086
OG0000137	Irido_IIV31_HF920637.1_00105	Chlor_AMIV_KF938901.1_00048
OG0000138	Irido_IIV31_HF920637.1_00181	Chlor_AMIV_KF938901.1_00065
OG0000139	Irido_IIV31_HF920637.1_00123	Chlor_AMIV_KF938901.1_00108
OG0000148	Irido_IIV31_HF920637.1_00060	Chlor_AMIV_KF938901.1_00069
OG0000153	Irido_IIV31_HF920637.1_00071, Irido_IIV31_HF920637.1_00162	Chlor_AMIV_KF938901.1_00066
OG0000154	Irido_IIV31_HF920637.1_00168	Chlor_AMIV_KF938901.1_00106
OG0000155	Irido_IIV31_HF920637.1_00011, Irido_IIV31_HF920637.1_00180	Chlor_AMIV_KF938901.1_00112
OG0000156	Irido_IIV31_HF920637.1_00150	Chlor_AMIV_KF938901.1_00118
