Orthogroup	Irido_IIV31_HF920637.1	MCV_MP1_RSIV_BD143114.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	MCV_MP1_RSIV_BD143114.1_00045
OG0000001	Irido_IIV31_HF920637.1_00143	MCV_MP1_RSIV_BD143114.1_00068
OG0000002	Irido_IIV31_HF920637.1_00059	MCV_MP1_RSIV_BD143114.1_00067
OG0000003	Irido_IIV31_HF920637.1_00159	MCV_MP1_RSIV_BD143114.1_00060
OG0000004	Irido_IIV31_HF920637.1_00025	MCV_MP1_RSIV_BD143114.1_00087
OG0000005	Irido_IIV31_HF920637.1_00172	MCV_MP1_RSIV_BD143114.1_00109
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	MCV_MP1_RSIV_BD143114.1_00046
OG0000007	Irido_IIV31_HF920637.1_00121	MCV_MP1_RSIV_BD143114.1_00001
OG0000008	Irido_IIV31_HF920637.1_00153	MCV_MP1_RSIV_BD143114.1_00085
OG0000009	Irido_IIV31_HF920637.1_00221	MCV_MP1_RSIV_BD143114.1_00104
OG0000011	Irido_IIV31_HF920637.1_00197	MCV_MP1_RSIV_BD143114.1_00114
OG0000012	Irido_IIV31_HF920637.1_00213	MCV_MP1_RSIV_BD143114.1_00040
OG0000013	Irido_IIV31_HF920637.1_00111	MCV_MP1_RSIV_BD143114.1_00092
OG0000014	Irido_IIV31_HF920637.1_00079	MCV_MP1_RSIV_BD143114.1_00113
OG0000015	Irido_IIV31_HF920637.1_00031	MCV_MP1_RSIV_BD143114.1_00044
OG0000016	Irido_IIV31_HF920637.1_00001	MCV_MP1_RSIV_BD143114.1_00053
OG0000017	Irido_IIV31_HF920637.1_00017	MCV_MP1_RSIV_BD143114.1_00019
OG0000018	Irido_IIV31_HF920637.1_00108	MCV_MP1_RSIV_BD143114.1_00077
OG0000019	Irido_IIV31_HF920637.1_00217	MCV_MP1_RSIV_BD143114.1_00013
OG0000020	Irido_IIV31_HF920637.1_00152	MCV_MP1_RSIV_BD143114.1_00076
OG0000021	Irido_IIV31_HF920637.1_00073	MCV_MP1_RSIV_BD143114.1_00042
OG0000022	Irido_IIV31_HF920637.1_00041	MCV_MP1_RSIV_BD143114.1_00070
OG0000023	Irido_IIV31_HF920637.1_00033	MCV_MP1_RSIV_BD143114.1_00031
OG0000024	Irido_IIV31_HF920637.1_00061	MCV_MP1_RSIV_BD143114.1_00049
OG0000025	Irido_IIV31_HF920637.1_00156	MCV_MP1_RSIV_BD143114.1_00012
OG0000030	Irido_IIV31_HF920637.1_00127	MCV_MP1_RSIV_BD143114.1_00069
