Orthogroup	Irido_IIV31_HF920637.1	Rana_FV3_NC_005946.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Rana_FV3_NC_005946.1_00010
OG0000001	Irido_IIV31_HF920637.1_00143	Rana_FV3_NC_005946.1_00091
OG0000002	Irido_IIV31_HF920637.1_00059	Rana_FV3_NC_005946.1_00053
OG0000003	Irido_IIV31_HF920637.1_00159	Rana_FV3_NC_005946.1_00057
OG0000004	Irido_IIV31_HF920637.1_00025	Rana_FV3_NC_005946.1_00028
OG0000005	Irido_IIV31_HF920637.1_00172	Rana_FV3_NC_005946.1_00002
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Rana_FV3_NC_005946.1_00095
OG0000007	Irido_IIV31_HF920637.1_00121	Rana_FV3_NC_005946.1_00042
OG0000008	Irido_IIV31_HF920637.1_00153	Rana_FV3_NC_005946.1_00092
OG0000009	Irido_IIV31_HF920637.1_00221	Rana_FV3_NC_005946.1_00014
OG0000011	Irido_IIV31_HF920637.1_00197	Rana_FV3_NC_005946.1_00094
OG0000012	Irido_IIV31_HF920637.1_00213	Rana_FV3_NC_005946.1_00061
OG0000013	Irido_IIV31_HF920637.1_00111	Rana_FV3_NC_005946.1_00023
OG0000014	Irido_IIV31_HF920637.1_00079	Rana_FV3_NC_005946.1_00082
OG0000015	Irido_IIV31_HF920637.1_00031	Rana_FV3_NC_005946.1_00083
OG0000016	Irido_IIV31_HF920637.1_00001	Rana_FV3_NC_005946.1_00060
OG0000017	Irido_IIV31_HF920637.1_00017	Rana_FV3_NC_005946.1_00022
OG0000018	Irido_IIV31_HF920637.1_00108	Rana_FV3_NC_005946.1_00016
OG0000019	Irido_IIV31_HF920637.1_00217	Rana_FV3_NC_005946.1_00011
OG0000020	Irido_IIV31_HF920637.1_00152	Rana_FV3_NC_005946.1_00021
OG0000021	Irido_IIV31_HF920637.1_00073	Rana_FV3_NC_005946.1_00087
OG0000022	Irido_IIV31_HF920637.1_00041	Rana_FV3_NC_005946.1_00038
OG0000023	Irido_IIV31_HF920637.1_00033	Rana_FV3_NC_005946.1_00089
OG0000024	Irido_IIV31_HF920637.1_00061	Rana_FV3_NC_005946.1_00067
OG0000113	Irido_IIV31_HF920637.1_00138	Rana_FV3_NC_005946.1_00020
OG0000133	Irido_IIV31_HF920637.1_00014	Rana_FV3_NC_005946.1_00079
OG0000134	Irido_IIV31_HF920637.1_00219	Rana_FV3_NC_005946.1_00001
OG0000137	Irido_IIV31_HF920637.1_00105	Rana_FV3_NC_005946.1_00039
OG0000148	Irido_IIV31_HF920637.1_00060	Rana_FV3_NC_005946.1_00054
OG0000156	Irido_IIV31_HF920637.1_00150	Rana_FV3_NC_005946.1_00063
OG0000160	Irido_IIV31_HF920637.1_00072	Rana_FV3_NC_005946.1_00075
