Orthogroup	MCV_MP1_LYCI_OL774653.1	Decap_MF599468.1
OG0000000	MCV_MP1_LYCI_OL774653.1_00051	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	MCV_MP1_LYCI_OL774653.1_00025	Decap_MF599468.1_00152
OG0000002	MCV_MP1_LYCI_OL774653.1_00026	Decap_MF599468.1_00163
OG0000003	MCV_MP1_LYCI_OL774653.1_00032	Decap_MF599468.1_00011
OG0000004	MCV_MP1_LYCI_OL774653.1_00006	Decap_MF599468.1_00092
OG0000005	MCV_MP1_LYCI_OL774653.1_00108	Decap_MF599468.1_00174
OG0000006	MCV_MP1_LYCI_OL774653.1_00050	Decap_MF599468.1_00030
OG0000007	MCV_MP1_LYCI_OL774653.1_00094	Decap_MF599468.1_00010
OG0000008	MCV_MP1_LYCI_OL774653.1_00008	Decap_MF599468.1_00075
OG0000009	MCV_MP1_LYCI_OL774653.1_00114	Decap_MF599468.1_00154
OG0000011	MCV_MP1_LYCI_OL774653.1_00104	Decap_MF599468.1_00106
OG0000012	MCV_MP1_LYCI_OL774653.1_00056	Decap_MF599468.1_00071
OG0000013	MCV_MP1_LYCI_OL774653.1_00001	Decap_MF599468.1_00117
OG0000014	MCV_MP1_LYCI_OL774653.1_00105	Decap_MF599468.1_00046
OG0000015	MCV_MP1_LYCI_OL774653.1_00052	Decap_MF599468.1_00090
OG0000016	MCV_MP1_LYCI_OL774653.1_00039	Decap_MF599468.1_00112
OG0000017	MCV_MP1_LYCI_OL774653.1_00076	Decap_MF599468.1_00033
OG0000018	MCV_MP1_LYCI_OL774653.1_00016	Decap_MF599468.1_00122
OG0000019	MCV_MP1_LYCI_OL774653.1_00082	Decap_MF599468.1_00149
OG0000020	MCV_MP1_LYCI_OL774653.1_00017	Decap_MF599468.1_00009
OG0000021	MCV_MP1_LYCI_OL774653.1_00054	Decap_MF599468.1_00035
OG0000022	MCV_MP1_LYCI_OL774653.1_00023	Decap_MF599468.1_00116
OG0000023	MCV_MP1_LYCI_OL774653.1_00065	Decap_MF599468.1_00171
OG0000026	MCV_MP1_LYCI_OL774653.1_00004	Decap_MF599468.1_00039
OG0000035	MCV_MP1_LYCI_OL774653.1_00077	Decap_MF599468.1_00013
OG0000065	MCV_MP1_LYCI_OL774653.1_00117	Decap_MF599468.1_00131
