Orthogroup	MN803438	MF599468
OG0000000	MN803438.1_00124 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	MN803438.1_00113 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000002	MN803438.1_00101 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000003	MN803438.1_00106 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	MN803438.1_00109 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	MN803438.1_00049 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000006	MN803438.1_00128 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000007	MN803438.1_00007 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000008	MN803438.1_00070 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000009	MN803438.1_00046 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000010	MN803438.1_00035 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000011	MN803438.1_00051 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000012	MN803438.1_00023 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000013	MN803438.1_00097 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	MN803438.1_00027 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	MN803438.1_00068 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000016	MN803438.1_00089 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000017	MN803438.1_00013 hypothetical protein	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	MN803438.1_00122 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000019	MN803438.1_00104 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000020	MN803438.1_00071 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000023	MN803438.1_00142 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000114	MN803438.1_00107 hypothetical protein, MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein	MF599468.1_00036 MF599468.1 - hypothetical protein translation
OG0000114	MN803438.1_00112 hypothetical protein, MN803438.1_00021 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein	MF599468.1_00096 MF599468.1 - hypothetical protein translation
OG0000130	MN803438.1_00115 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation
OG0000134	MN803438.1_00137 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation
OG0000139	MN803438.1_00006 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation
OG0000146	MN803438.1_00135 hypothetical protein	MF599468.1_00074 MF599468.1 - hypothetical protein translation
OG0000150	MN803438.1_00003 hypothetical protein	MF599468.1_00060 MF599468.1 - hypothetical protein translation
OG0000153	MN803438.1_00078 hypothetical protein	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation
OG0000168	MN803438.1_00030 hypothetical protein	MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation
OG0000195	MN803438.1_00044 hypothetical protein	MF599468.1_00006 MF599468.1 - hypothetical protein translation
OG0000219	MN803438.1_00140 hypothetical protein	MF599468.1_00062 MF599468.1 - hypothetical protein translation
