Orthogroup	Daphi_LS484712.1	Chlor_AMIV_KF938901.1
OG0000000	Daphi_LS484712.1_00114	Chlor_AMIV_KF938901.1_00126
OG0000001	Daphi_LS484712.1_00142	Chlor_AMIV_KF938901.1_00044
OG0000002	Daphi_LS484712.1_00095	Chlor_AMIV_KF938901.1_00080
OG0000003	Daphi_LS484712.1_00187	Chlor_AMIV_KF938901.1_00005
OG0000005	Daphi_LS484712.1_00050	Chlor_AMIV_KF938901.1_00053
OG0000006	Daphi_LS484712.1_00248	Chlor_AMIV_KF938901.1_00067
OG0000007	Daphi_LS484712.1_00040	Chlor_AMIV_KF938901.1_00072
OG0000008	Daphi_LS484712.1_00130	Chlor_AMIV_KF938901.1_00114
OG0000009	Daphi_LS484712.1_00256	Chlor_AMIV_KF938901.1_00125
OG0000011	Daphi_LS484712.1_00192	Chlor_AMIV_KF938901.1_00012
OG0000012	Daphi_LS484712.1_00194	Chlor_AMIV_KF938901.1_00023
OG0000013	Daphi_LS484712.1_00053	Chlor_AMIV_KF938901.1_00025
OG0000014	Daphi_LS484712.1_00048	Chlor_AMIV_KF938901.1_00046
OG0000015	Daphi_LS484712.1_00188	Chlor_AMIV_KF938901.1_00047
OG0000016	Daphi_LS484712.1_00200	Chlor_AMIV_KF938901.1_00054
OG0000017	Daphi_LS484712.1_00143	Chlor_AMIV_KF938901.1_00060
OG0000018	Daphi_LS484712.1_00202	Chlor_AMIV_KF938901.1_00074
OG0000019	Daphi_LS484712.1_00203	Chlor_AMIV_KF938901.1_00092
OG0000020	Daphi_LS484712.1_00135	Chlor_AMIV_KF938901.1_00095
OG0000021	Daphi_LS484712.1_00240	Chlor_AMIV_KF938901.1_00123
OG0000022	Daphi_LS484712.1_00096	Chlor_AMIV_KF938901.1_00124
OG0000023	Daphi_LS484712.1_00117	Chlor_AMIV_KF938901.1_00031
OG0000024	Daphi_LS484712.1_00149	Chlor_AMIV_KF938901.1_00094
OG0000123	Daphi_LS484712.1_00198	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091, Chlor_AMIV_KF938901.1_00020
OG0000133	Daphi_LS484712.1_00197	Chlor_AMIV_KF938901.1_00007
OG0000134	Daphi_LS484712.1_00057	Chlor_AMIV_KF938901.1_00086
OG0000137	Daphi_LS484712.1_00251	Chlor_AMIV_KF938901.1_00048
OG0000138	Daphi_LS484712.1_00063	Chlor_AMIV_KF938901.1_00065
OG0000148	Daphi_LS484712.1_00133	Chlor_AMIV_KF938901.1_00069
OG0000155	Daphi_LS484712.1_00211	Chlor_AMIV_KF938901.1_00112
OG0000167	Daphi_LS484712.1_00113	Chlor_AMIV_KF938901.1_00075
OG0000169	Daphi_LS484712.1_00116	Chlor_AMIV_KF938901.1_00102
OG0000170	Daphi_LS484712.1_00195	Chlor_AMIV_KF938901.1_00103
OG0000171	Daphi_LS484712.1_00140	Chlor_AMIV_KF938901.1_00117
OG0000172	Daphi_LS484712.1_00112	Chlor_AMIV_KF938901.1_00121
OG0000173	Daphi_LS484712.1_00212	Chlor_AMIV_KF938901.1_00128
OG0000174	Daphi_LS484712.1_00184	Chlor_AMIV_KF938901.1_00150
OG0000184	Daphi_LS484712.1_00120	Chlor_AMIV_KF938901.1_00008
OG0000185	Daphi_LS484712.1_00163	Chlor_AMIV_KF938901.1_00010
OG0000187	Daphi_LS484712.1_00196	Chlor_AMIV_KF938901.1_00063
OG0000190	Daphi_LS484712.1_00060	Chlor_AMIV_KF938901.1_00077
OG0000194	Daphi_LS484712.1_00106	Chlor_AMIV_KF938901.1_00113
OG0000199	Daphi_LS484712.1_00224	Chlor_AMIV_KF938901.1_00139
OG0000214	Daphi_LS484712.1_00233	Chlor_AMIV_KF938901.1_00029
OG0000281	Daphi_LS484712.1_00201	Chlor_AMIV_KF938901.1_00013
OG0000288	Daphi_LS484712.1_00207	Chlor_AMIV_KF938901.1_00050
OG0000289	Daphi_LS484712.1_00206	Chlor_AMIV_KF938901.1_00083
