Orthogroup	Daphi_LS484712.1	Chlor_IIV22_HF920633.1
OG0000000	Daphi_LS484712.1_00114	Chlor_IIV22_HF920633.1_00044
OG0000001	Daphi_LS484712.1_00142	Chlor_IIV22_HF920633.1_00073
OG0000002	Daphi_LS484712.1_00095	Chlor_IIV22_HF920633.1_00069
OG0000003	Daphi_LS484712.1_00187	Chlor_IIV22_HF920633.1_00127
OG0000005	Daphi_LS484712.1_00050	Chlor_IIV22_HF920633.1_00091
OG0000006	Daphi_LS484712.1_00248	Chlor_IIV22_HF920633.1_00043
OG0000007	Daphi_LS484712.1_00040	Chlor_IIV22_HF920633.1_00025
OG0000008	Daphi_LS484712.1_00130	Chlor_IIV22_HF920633.1_00122
OG0000009	Daphi_LS484712.1_00256	Chlor_IIV22_HF920633.1_00085
OG0000011	Daphi_LS484712.1_00192	Chlor_IIV22_HF920633.1_00163
OG0000012	Daphi_LS484712.1_00194	Chlor_IIV22_HF920633.1_00175
OG0000013	Daphi_LS484712.1_00053	Chlor_IIV22_HF920633.1_00003
OG0000014	Daphi_LS484712.1_00048	Chlor_IIV22_HF920633.1_00094
OG0000015	Daphi_LS484712.1_00188	Chlor_IIV22_HF920633.1_00080
OG0000016	Daphi_LS484712.1_00200	Chlor_IIV22_HF920633.1_00001
OG0000017	Daphi_LS484712.1_00143	Chlor_IIV22_HF920633.1_00067
OG0000018	Daphi_LS484712.1_00202	Chlor_IIV22_HF920633.1_00138
OG0000019	Daphi_LS484712.1_00203	Chlor_IIV22_HF920633.1_00118
OG0000020	Daphi_LS484712.1_00135	Chlor_IIV22_HF920633.1_00058
OG0000021	Daphi_LS484712.1_00240	Chlor_IIV22_HF920633.1_00158
OG0000022	Daphi_LS484712.1_00096	Chlor_IIV22_HF920633.1_00097
OG0000023	Daphi_LS484712.1_00117	Chlor_IIV22_HF920633.1_00017
OG0000024	Daphi_LS484712.1_00149	Chlor_IIV22_HF920633.1_00062
OG0000123	Daphi_LS484712.1_00198	Chlor_IIV22_HF920633.1_00007, Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174, Chlor_IIV22_HF920633.1_00147
OG0000133	Daphi_LS484712.1_00197	Chlor_IIV22_HF920633.1_00064
OG0000134	Daphi_LS484712.1_00057	Chlor_IIV22_HF920633.1_00135
OG0000137	Daphi_LS484712.1_00251	Chlor_IIV22_HF920633.1_00132
OG0000138	Daphi_LS484712.1_00063	Chlor_IIV22_HF920633.1_00053
OG0000148	Daphi_LS484712.1_00133	Chlor_IIV22_HF920633.1_00026
OG0000155	Daphi_LS484712.1_00211	Chlor_IIV22_HF920633.1_00088
OG0000167	Daphi_LS484712.1_00113	Chlor_IIV22_HF920633.1_00039
OG0000169	Daphi_LS484712.1_00116	Chlor_IIV22_HF920633.1_00134
OG0000170	Daphi_LS484712.1_00195	Chlor_IIV22_HF920633.1_00082
OG0000171	Daphi_LS484712.1_00140	Chlor_IIV22_HF920633.1_00105
OG0000172	Daphi_LS484712.1_00112	Chlor_IIV22_HF920633.1_00177
OG0000173	Daphi_LS484712.1_00212	Chlor_IIV22_HF920633.1_00169
OG0000174	Daphi_LS484712.1_00184	Chlor_IIV22_HF920633.1_00046
OG0000184	Daphi_LS484712.1_00120	Chlor_IIV22_HF920633.1_00029
OG0000185	Daphi_LS484712.1_00163	Chlor_IIV22_HF920633.1_00035
OG0000187	Daphi_LS484712.1_00196	Chlor_IIV22_HF920633.1_00131
OG0000190	Daphi_LS484712.1_00060	Chlor_IIV22_HF920633.1_00050
OG0000194	Daphi_LS484712.1_00106	Chlor_IIV22_HF920633.1_00121
OG0000199	Daphi_LS484712.1_00224	Chlor_IIV22_HF920633.1_00146
OG0000214	Daphi_LS484712.1_00233	Chlor_IIV22_HF920633.1_00018
OG0000228	Daphi_LS484712.1_00052	Chlor_IIV22_HF920633.1_00101
OG0000281	Daphi_LS484712.1_00201	Chlor_IIV22_HF920633.1_00164
OG0000288	Daphi_LS484712.1_00207	Chlor_IIV22_HF920633.1_00060
OG0000289	Daphi_LS484712.1_00206	Chlor_IIV22_HF920633.1_00159
