Orthogroup	Daphi_LS484712.1	MCV_MP1_LYCI_OL774655.1
OG0000000	Daphi_LS484712.1_00114	MCV_MP1_LYCI_OL774655.1_00034
OG0000001	Daphi_LS484712.1_00142	MCV_MP1_LYCI_OL774655.1_00007
OG0000002	Daphi_LS484712.1_00095	MCV_MP1_LYCI_OL774655.1_00008
OG0000003	Daphi_LS484712.1_00187	MCV_MP1_LYCI_OL774655.1_00015
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	MCV_MP1_LYCI_OL774655.1_00091
OG0000006	Daphi_LS484712.1_00248	MCV_MP1_LYCI_OL774655.1_00033
OG0000007	Daphi_LS484712.1_00040	MCV_MP1_LYCI_OL774655.1_00078
OG0000008	Daphi_LS484712.1_00130	MCV_MP1_LYCI_OL774655.1_00115
OG0000009	Daphi_LS484712.1_00256	MCV_MP1_LYCI_OL774655.1_00096
OG0000011	Daphi_LS484712.1_00192	MCV_MP1_LYCI_OL774655.1_00087
OG0000012	Daphi_LS484712.1_00194	MCV_MP1_LYCI_OL774655.1_00039
OG0000013	Daphi_LS484712.1_00053	MCV_MP1_LYCI_OL774655.1_00108
OG0000014	Daphi_LS484712.1_00048	MCV_MP1_LYCI_OL774655.1_00088
OG0000015	Daphi_LS484712.1_00188	MCV_MP1_LYCI_OL774655.1_00035
OG0000016	Daphi_LS484712.1_00200	MCV_MP1_LYCI_OL774655.1_00022
OG0000017	Daphi_LS484712.1_00143	MCV_MP1_LYCI_OL774655.1_00060
OG0000018	Daphi_LS484712.1_00202	MCV_MP1_LYCI_OL774655.1_00123
OG0000019	Daphi_LS484712.1_00203	MCV_MP1_LYCI_OL774655.1_00066
OG0000020	Daphi_LS484712.1_00135	MCV_MP1_LYCI_OL774655.1_00124
OG0000021	Daphi_LS484712.1_00240	MCV_MP1_LYCI_OL774655.1_00037
OG0000022	Daphi_LS484712.1_00096	MCV_MP1_LYCI_OL774655.1_00005
OG0000023	Daphi_LS484712.1_00117	MCV_MP1_LYCI_OL774655.1_00048
OG0000024	Daphi_LS484712.1_00149	MCV_MP1_LYCI_OL774655.1_00030
OG0000064	Daphi_LS484712.1_00002	MCV_MP1_LYCI_OL774655.1_00070
