Orthogroup	Daphi_LS484712.1	MCV_MP1_LBUSV_OP009387.1
OG0000000	Daphi_LS484712.1_00114	MCV_MP1_LBUSV_OP009387.1_00030
OG0000001	Daphi_LS484712.1_00142	MCV_MP1_LBUSV_OP009387.1_00007
OG0000002	Daphi_LS484712.1_00095	MCV_MP1_LBUSV_OP009387.1_00008
OG0000003	Daphi_LS484712.1_00187	MCV_MP1_LBUSV_OP009387.1_00015
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	MCV_MP1_LBUSV_OP009387.1_00091
OG0000006	Daphi_LS484712.1_00248	MCV_MP1_LBUSV_OP009387.1_00029
OG0000007	Daphi_LS484712.1_00040	MCV_MP1_LBUSV_OP009387.1_00077
OG0000008	Daphi_LS484712.1_00130	MCV_MP1_LBUSV_OP009387.1_00113
OG0000009	Daphi_LS484712.1_00256	MCV_MP1_LBUSV_OP009387.1_00095
OG0000011	Daphi_LS484712.1_00192	MCV_MP1_LBUSV_OP009387.1_00087
OG0000012	Daphi_LS484712.1_00194	MCV_MP1_LBUSV_OP009387.1_00035
OG0000013	Daphi_LS484712.1_00053	MCV_MP1_LBUSV_OP009387.1_00107
OG0000014	Daphi_LS484712.1_00048	MCV_MP1_LBUSV_OP009387.1_00088
OG0000015	Daphi_LS484712.1_00188	MCV_MP1_LBUSV_OP009387.1_00031
OG0000016	Daphi_LS484712.1_00200	MCV_MP1_LBUSV_OP009387.1_00023
OG0000017	Daphi_LS484712.1_00143	MCV_MP1_LBUSV_OP009387.1_00057
OG0000018	Daphi_LS484712.1_00202	MCV_MP1_LBUSV_OP009387.1_00121
OG0000019	Daphi_LS484712.1_00203	MCV_MP1_LBUSV_OP009387.1_00064
OG0000020	Daphi_LS484712.1_00135	MCV_MP1_LBUSV_OP009387.1_00122
OG0000021	Daphi_LS484712.1_00240	MCV_MP1_LBUSV_OP009387.1_00033
OG0000022	Daphi_LS484712.1_00096	MCV_MP1_LBUSV_OP009387.1_00005
OG0000023	Daphi_LS484712.1_00117	MCV_MP1_LBUSV_OP009387.1_00044
OG0000024	Daphi_LS484712.1_00149	MCV_MP1_LBUSV_OP009387.1_00026
OG0000064	Daphi_LS484712.1_00002	MCV_MP1_LBUSV_OP009387.1_00067
