Orthogroup	Daphi_LS484712.1	MCV_Unlassified_OL310752.1
OG0000000	Daphi_LS484712.1_00114	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	Daphi_LS484712.1_00142	MCV_Unlassified_OL310752.1_00019
OG0000002	Daphi_LS484712.1_00095	MCV_Unlassified_OL310752.1_00018
OG0000003	Daphi_LS484712.1_00187	MCV_Unlassified_OL310752.1_00012
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	MCV_Unlassified_OL310752.1_00042
OG0000006	Daphi_LS484712.1_00248	MCV_Unlassified_OL310752.1_00107
OG0000007	Daphi_LS484712.1_00040	MCV_Unlassified_OL310752.1_00078
OG0000008	Daphi_LS484712.1_00130	MCV_Unlassified_OL310752.1_00116
OG0000009	Daphi_LS484712.1_00256	MCV_Unlassified_OL310752.1_00036
OG0000011	Daphi_LS484712.1_00192	MCV_Unlassified_OL310752.1_00046
OG0000012	Daphi_LS484712.1_00194	MCV_Unlassified_OL310752.1_00083
OG0000013	Daphi_LS484712.1_00053	MCV_Unlassified_OL310752.1_00065
OG0000014	Daphi_LS484712.1_00048	MCV_Unlassified_OL310752.1_00045
OG0000015	Daphi_LS484712.1_00188	MCV_Unlassified_OL310752.1_00114
OG0000016	Daphi_LS484712.1_00200	MCV_Unlassified_OL310752.1_00004
OG0000017	Daphi_LS484712.1_00143	MCV_Unlassified_OL310752.1_00096
OG0000018	Daphi_LS484712.1_00202	MCV_Unlassified_OL310752.1_00071
OG0000019	Daphi_LS484712.1_00203	MCV_Unlassified_OL310752.1_00027
OG0000020	Daphi_LS484712.1_00135	MCV_Unlassified_OL310752.1_00072
OG0000021	Daphi_LS484712.1_00240	MCV_Unlassified_OL310752.1_00085
OG0000022	Daphi_LS484712.1_00096	MCV_Unlassified_OL310752.1_00021
OG0000023	Daphi_LS484712.1_00117	MCV_Unlassified_OL310752.1_00052
OG0000024	Daphi_LS484712.1_00149	MCV_Unlassified_OL310752.1_00104
OG0000064	Daphi_LS484712.1_00002	MCV_Unlassified_OL310752.1_00031
