Orthogroup	MF599468.1	AY521625.1
OG0000000	MF599468.1_00057, MF599468.1_00056	AY521625.1_00091
OG0000001	MF599468.1_00152	AY521625.1_00064
OG0000003	MF599468.1_00163	AY521625.1_00077
OG0000004	MF599468.1_00011	AY521625.1_00130
OG0000005	MF599468.1_00030	AY521625.1_00085
OG0000006	MF599468.1_00010	AY521625.1_00051
OG0000007	MF599468.1_00174	AY521625.1_00016
OG0000008	MF599468.1_00092	AY521625.1_00069, AY521625.1_00070
OG0000009	MF599468.1_00075	AY521625.1_00142
OG0000010	MF599468.1_00116	AY521625.1_00054
OG0000011	MF599468.1_00112	AY521625.1_00110
OG0000012	MF599468.1_00090	AY521625.1_00074
OG0000013	MF599468.1_00035	AY521625.1_00059
OG0000014	MF599468.1_00071	AY521625.1_00065
OG0000015	MF599468.1_00033	AY521625.1_00048
OG0000016	MF599468.1_00149	AY521625.1_00053
OG0000017	MF599468.1_00106	AY521625.1_00086
OG0000018	MF599468.1_00046	AY521625.1_00073
OG0000019	MF599468.1_00117	AY521625.1_00047
OG0000020	MF599468.1_00122	AY521625.1_00115
OG0000021	MF599468.1_00009	AY521625.1_00035
OG0000022	MF599468.1_00171	AY521625.1_00062
OG0000023	MF599468.1_00154	AY521625.1_00100
OG0000024	MF599468.1_00039	AY521625.1_00060
OG0000120	MF599468.1_00036	AY521625.1_00036
OG0000137	MF599468.1_00002	AY521625.1_00098
OG0000138	MF599468.1_00027	AY521625.1_00102
OG0000151	MF599468.1_00060	AY521625.1_00018
OG0000153	MF599468.1_00156, MF599468.1_00066	AY521625.1_00126
OG0000154	MF599468.1_00161	AY521625.1_00133
OG0000160	MF599468.1_00089, MF599468.1_00108	AY521625.1_00011
OG0000161	MF599468.1_00142	AY521625.1_00044
OG0000171	MF599468.1_00006	AY521625.1_00066
OG0000194	MF599468.1_00062	AY521625.1_00057
OG0000311	MF599468.1_00076	AY521625.1_00089
