Orthogroup	MF599468.1	MT926123.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MT926123.1_00032
OG0000001	MF599468.1_00152	MT926123.1_00007
OG0000003	MF599468.1_00163	MT926123.1_00008
OG0000004	MF599468.1_00011	MT926123.1_00015
OG0000005	MF599468.1_00030	MT926123.1_00031
OG0000006	MF599468.1_00010	MT926123.1_00079
OG0000007	MF599468.1_00174	MT926123.1_00093
OG0000008	MF599468.1_00092	MT926123.1_00112
OG0000009	MF599468.1_00075	MT926123.1_00113
OG0000010	MF599468.1_00116	MT926123.1_00005
OG0000011	MF599468.1_00112	MT926123.1_00022
OG0000012	MF599468.1_00090	MT926123.1_00033
OG0000013	MF599468.1_00035	MT926123.1_00035
OG0000014	MF599468.1_00071	MT926123.1_00037
OG0000015	MF599468.1_00033	MT926123.1_00058
OG0000016	MF599468.1_00149	MT926123.1_00065
OG0000017	MF599468.1_00106	MT926123.1_00089
OG0000018	MF599468.1_00046	MT926123.1_00090
OG0000019	MF599468.1_00117	MT926123.1_00107
OG0000020	MF599468.1_00122	MT926123.1_00120
OG0000021	MF599468.1_00009	MT926123.1_00121
OG0000022	MF599468.1_00171	MT926123.1_00046
OG0000023	MF599468.1_00154	MT926123.1_00096
OG0000024	MF599468.1_00039	MT926123.1_00110
OG0000046	MF599468.1_00013	MT926123.1_00059
OG0000069	MF599468.1_00131	MT926123.1_00099
