Orthogroup	MF599468.1	MN562489.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MN562489.1_00102
OG0000001	MF599468.1_00152	MN562489.1_00080
OG0000003	MF599468.1_00163	MN562489.1_00081
OG0000004	MF599468.1_00011	MN562489.1_00087
OG0000005	MF599468.1_00030	MN562489.1_00099
OG0000006	MF599468.1_00010	MN562489.1_00116
OG0000007	MF599468.1_00174	MN562489.1_00052
OG0000008	MF599468.1_00092	MN562489.1_00060
OG0000009	MF599468.1_00075	MN562489.1_00059
OG0000010	MF599468.1_00116	MN562489.1_00124
OG0000011	MF599468.1_00112	MN562489.1_00096
OG0000012	MF599468.1_00090	MN562489.1_00012
OG0000013	MF599468.1_00035	MN562489.1_00011
OG0000014	MF599468.1_00071	MN562489.1_00008
OG0000015	MF599468.1_00033	MN562489.1_00038
OG0000016	MF599468.1_00149	MN562489.1_00128
OG0000017	MF599468.1_00106	MN562489.1_00046
OG0000018	MF599468.1_00046	MN562489.1_00047
OG0000019	MF599468.1_00117	MN562489.1_00063
OG0000020	MF599468.1_00122	MN562489.1_00058
OG0000021	MF599468.1_00009	MN562489.1_00133
OG0000022	MF599468.1_00171	MN562489.1_00023
OG0000023	MF599468.1_00154	MN562489.1_00056
OG0000024	MF599468.1_00039	MN562489.1_00062
OG0000046	MF599468.1_00013	MN562489.1_00039
OG0000189	MF599468.1_00098	MN562489.1_00114
