Orthogroup	MF599468.1	OL310752.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OL310752.1_00108, OL310752.1_00113
OG0000001	MF599468.1_00152	OL310752.1_00019
OG0000003	MF599468.1_00163	OL310752.1_00018
OG0000004	MF599468.1_00011	OL310752.1_00012
OG0000005	MF599468.1_00030	OL310752.1_00107
OG0000006	MF599468.1_00010	OL310752.1_00078
OG0000007	MF599468.1_00174	OL310752.1_00042
OG0000008	MF599468.1_00092	OL310752.1_00060
OG0000009	MF599468.1_00075	OL310752.1_00116
OG0000010	MF599468.1_00116	OL310752.1_00021
OG0000011	MF599468.1_00112	OL310752.1_00004
OG0000012	MF599468.1_00090	OL310752.1_00114
OG0000013	MF599468.1_00035	OL310752.1_00085
OG0000014	MF599468.1_00071	OL310752.1_00083
OG0000015	MF599468.1_00033	OL310752.1_00096
OG0000016	MF599468.1_00149	OL310752.1_00027
OG0000017	MF599468.1_00106	OL310752.1_00046
OG0000018	MF599468.1_00046	OL310752.1_00045
OG0000019	MF599468.1_00117	OL310752.1_00065
OG0000020	MF599468.1_00122	OL310752.1_00071
OG0000021	MF599468.1_00009	OL310752.1_00072
OG0000022	MF599468.1_00171	OL310752.1_00052
OG0000023	MF599468.1_00154	OL310752.1_00036
OG0000024	MF599468.1_00039	OL310752.1_00062
OG0000046	MF599468.1_00013	OL310752.1_00022
OG0000069	MF599468.1_00131	OL310752.1_00033
