Orthogroup	MF599468.1	LS484712.1
OG0000000	MF599468.1_00057, MF599468.1_00056	LS484712.1_00114
OG0000001	MF599468.1_00152	LS484712.1_00142
OG0000003	MF599468.1_00163	LS484712.1_00095
OG0000004	MF599468.1_00011	LS484712.1_00187
OG0000005	MF599468.1_00030	LS484712.1_00248
OG0000006	MF599468.1_00010	LS484712.1_00040
OG0000007	MF599468.1_00174	LS484712.1_00234, LS484712.1_00050
OG0000009	MF599468.1_00075	LS484712.1_00130
OG0000010	MF599468.1_00116	LS484712.1_00096
OG0000011	MF599468.1_00112	LS484712.1_00200
OG0000012	MF599468.1_00090	LS484712.1_00188
OG0000013	MF599468.1_00035	LS484712.1_00240
OG0000014	MF599468.1_00071	LS484712.1_00194
OG0000015	MF599468.1_00033	LS484712.1_00143
OG0000016	MF599468.1_00149	LS484712.1_00203
OG0000017	MF599468.1_00106	LS484712.1_00192
OG0000018	MF599468.1_00046	LS484712.1_00048
OG0000019	MF599468.1_00117	LS484712.1_00053
OG0000020	MF599468.1_00122	LS484712.1_00202
OG0000021	MF599468.1_00009	LS484712.1_00135
OG0000022	MF599468.1_00171	LS484712.1_00117
OG0000137	MF599468.1_00002	LS484712.1_00057
OG0000138	MF599468.1_00027	LS484712.1_00197
OG0000154	MF599468.1_00161	LS484712.1_00133
OG0000155	MF599468.1_00051	LS484712.1_00063
OG0000177	MF599468.1_00155	LS484712.1_00184
OG0000178	MF599468.1_00162	LS484712.1_00195
OG0000181	MF599468.1_00004	LS484712.1_00140
OG0000182	MF599468.1_00141	LS484712.1_00116
OG0000185	MF599468.1_00067	LS484712.1_00212
OG0000186	MF599468.1_00105	LS484712.1_00112
