Orthogroup	MF599468.1	KT804738.1
OG0000000	MF599468.1_00057, MF599468.1_00056	KT804738.1_00029
OG0000001	MF599468.1_00152	KT804738.1_00007
OG0000003	MF599468.1_00163	KT804738.1_00008
OG0000004	MF599468.1_00011	KT804738.1_00015
OG0000005	MF599468.1_00030	KT804738.1_00028
OG0000006	MF599468.1_00010	KT804738.1_00072
OG0000007	MF599468.1_00174	KT804738.1_00086
OG0000008	MF599468.1_00092	KT804738.1_00109
OG0000009	MF599468.1_00075	KT804738.1_00111
OG0000010	MF599468.1_00116	KT804738.1_00005
OG0000011	MF599468.1_00112	KT804738.1_00021
OG0000012	MF599468.1_00090	KT804738.1_00030
OG0000013	MF599468.1_00035	KT804738.1_00032
OG0000014	MF599468.1_00071	KT804738.1_00034
OG0000015	MF599468.1_00033	KT804738.1_00055
OG0000016	MF599468.1_00149	KT804738.1_00060
OG0000017	MF599468.1_00106	KT804738.1_00082
OG0000018	MF599468.1_00046	KT804738.1_00083
OG0000019	MF599468.1_00117	KT804738.1_00104
OG0000020	MF599468.1_00122	KT804738.1_00119
OG0000021	MF599468.1_00009	KT804738.1_00120
OG0000022	MF599468.1_00171	KT804738.1_00043
OG0000023	MF599468.1_00154	KT804738.1_00092
OG0000024	MF599468.1_00039	KT804738.1_00107
OG0000069	MF599468.1_00131	KT804738.1_00095
