Orthogroup	MT926123.1	MF599468.1
OG0000000	MT926123.1_00032	MF599468.1_00057, MF599468.1_00056
OG0000001	MT926123.1_00007	MF599468.1_00152
OG0000003	MT926123.1_00008	MF599468.1_00163
OG0000004	MT926123.1_00015	MF599468.1_00011
OG0000005	MT926123.1_00031	MF599468.1_00030
OG0000006	MT926123.1_00079	MF599468.1_00010
OG0000007	MT926123.1_00093	MF599468.1_00174
OG0000008	MT926123.1_00112	MF599468.1_00092
OG0000009	MT926123.1_00113	MF599468.1_00075
OG0000010	MT926123.1_00005	MF599468.1_00116
OG0000011	MT926123.1_00022	MF599468.1_00112
OG0000012	MT926123.1_00033	MF599468.1_00090
OG0000013	MT926123.1_00035	MF599468.1_00035
OG0000014	MT926123.1_00037	MF599468.1_00071
OG0000015	MT926123.1_00058	MF599468.1_00033
OG0000016	MT926123.1_00065	MF599468.1_00149
OG0000017	MT926123.1_00089	MF599468.1_00106
OG0000018	MT926123.1_00090	MF599468.1_00046
OG0000019	MT926123.1_00107	MF599468.1_00117
OG0000020	MT926123.1_00120	MF599468.1_00122
OG0000021	MT926123.1_00121	MF599468.1_00009
OG0000022	MT926123.1_00046	MF599468.1_00171
OG0000023	MT926123.1_00096	MF599468.1_00154
OG0000024	MT926123.1_00110	MF599468.1_00039
OG0000046	MT926123.1_00059	MF599468.1_00013
OG0000069	MT926123.1_00099	MF599468.1_00131
