Orthogroup	MT926123.1	HF920633.1
OG0000000	MT926123.1_00032	HF920633.1_00044
OG0000001	MT926123.1_00007	HF920633.1_00073
OG0000003	MT926123.1_00008	HF920633.1_00069
OG0000004	MT926123.1_00015	HF920633.1_00127
OG0000005	MT926123.1_00031	HF920633.1_00043
OG0000006	MT926123.1_00079	HF920633.1_00025
OG0000007	MT926123.1_00093	HF920633.1_00091
OG0000008	MT926123.1_00112	HF920633.1_00079
OG0000009	MT926123.1_00113	HF920633.1_00122
OG0000010	MT926123.1_00005	HF920633.1_00097
OG0000011	MT926123.1_00022	HF920633.1_00001
OG0000012	MT926123.1_00033	HF920633.1_00080
OG0000013	MT926123.1_00035	HF920633.1_00158
OG0000014	MT926123.1_00037	HF920633.1_00175
OG0000015	MT926123.1_00058	HF920633.1_00067
OG0000016	MT926123.1_00065	HF920633.1_00118
OG0000017	MT926123.1_00089	HF920633.1_00163
OG0000018	MT926123.1_00090	HF920633.1_00094
OG0000019	MT926123.1_00107	HF920633.1_00003
OG0000020	MT926123.1_00120	HF920633.1_00138
OG0000021	MT926123.1_00121	HF920633.1_00058
OG0000022	MT926123.1_00046	HF920633.1_00017
OG0000025	MT926123.1_00066	HF920633.1_00047
OG0000028	MT926123.1_00006	HF920633.1_00030
