Orthogroup	MT926123.1	MG570132.1
OG0000000	MT926123.1_00032	MG570132.1_00031
OG0000001	MT926123.1_00007	MG570132.1_00007
OG0000002	MT926123.1_00080	MG570132.1_00074
OG0000003	MT926123.1_00008	MG570132.1_00009
OG0000004	MT926123.1_00015	MG570132.1_00016
OG0000005	MT926123.1_00031	MG570132.1_00030
OG0000006	MT926123.1_00079	MG570132.1_00073
OG0000007	MT926123.1_00093	MG570132.1_00087
OG0000008	MT926123.1_00112	MG570132.1_00108
OG0000009	MT926123.1_00113	MG570132.1_00110
OG0000010	MT926123.1_00005	MG570132.1_00005
OG0000011	MT926123.1_00022	MG570132.1_00023
OG0000012	MT926123.1_00033	MG570132.1_00032
OG0000013	MT926123.1_00035	MG570132.1_00034
OG0000014	MT926123.1_00037	MG570132.1_00036
OG0000015	MT926123.1_00058	MG570132.1_00057
OG0000016	MT926123.1_00065	MG570132.1_00063
OG0000017	MT926123.1_00089	MG570132.1_00083
OG0000018	MT926123.1_00090	MG570132.1_00084
OG0000019	MT926123.1_00107	MG570132.1_00103
OG0000020	MT926123.1_00120	MG570132.1_00118
OG0000021	MT926123.1_00121	MG570132.1_00119
OG0000022	MT926123.1_00046	MG570132.1_00045
OG0000023	MT926123.1_00096	MG570132.1_00092
OG0000024	MT926123.1_00110	MG570132.1_00106
OG0000025	MT926123.1_00066	MG570132.1_00064
OG0000026	MT926123.1_00091	MG570132.1_00085
OG0000027	MT926123.1_00049	MG570132.1_00048
OG0000028	MT926123.1_00006	MG570132.1_00006
OG0000029	MT926123.1_00063	MG570132.1_00061
OG0000030	MT926123.1_00001	MG570132.1_00001
OG0000031	MT926123.1_00083	MG570132.1_00078
OG0000032	MT926123.1_00092	MG570132.1_00086
OG0000033	MT926123.1_00122	MG570132.1_00120
OG0000034	MT926123.1_00013	MG570132.1_00014
OG0000035	MT926123.1_00014	MG570132.1_00015
OG0000036	MT926123.1_00019	MG570132.1_00020
OG0000037	MT926123.1_00020	MG570132.1_00021
OG0000038	MT926123.1_00023	MG570132.1_00024
OG0000039	MT926123.1_00024	MG570132.1_00025
OG0000040	MT926123.1_00034	MG570132.1_00033
OG0000041	MT926123.1_00038	MG570132.1_00037
OG0000042	MT926123.1_00050	MG570132.1_00049
OG0000043	MT926123.1_00051	MG570132.1_00050
OG0000044	MT926123.1_00056	MG570132.1_00055
OG0000045	MT926123.1_00057	MG570132.1_00056
OG0000046	MT926123.1_00059	MG570132.1_00058
OG0000047	MT926123.1_00061	MG570132.1_00059
OG0000048	MT926123.1_00062	MG570132.1_00060
OG0000049	MT926123.1_00081	MG570132.1_00075
OG0000050	MT926123.1_00084	MG570132.1_00079
OG0000051	MT926123.1_00085	MG570132.1_00080
OG0000052	MT926123.1_00095	MG570132.1_00091
OG0000053	MT926123.1_00097	MG570132.1_00093
OG0000054	MT926123.1_00100	MG570132.1_00096
OG0000055	MT926123.1_00111	MG570132.1_00107
OG0000056	MT926123.1_00115	MG570132.1_00112
OG0000057	MT926123.1_00117	MG570132.1_00114
OG0000058	MT926123.1_00002	MG570132.1_00002
OG0000059	MT926123.1_00010	MG570132.1_00011
OG0000060	MT926123.1_00018	MG570132.1_00019
OG0000062	MT926123.1_00028	MG570132.1_00028
OG0000063	MT926123.1_00074	MG570132.1_00070
OG0000064	MT926123.1_00017	MG570132.1_00018
OG0000065	MT926123.1_00040	MG570132.1_00039
OG0000066	MT926123.1_00044	MG570132.1_00043
OG0000067	MT926123.1_00048	MG570132.1_00047
OG0000068	MT926123.1_00069	MG570132.1_00066
OG0000069	MT926123.1_00099	MG570132.1_00095
OG0000070	MT926123.1_00101	MG570132.1_00097
OG0000071	MT926123.1_00114	MG570132.1_00111
OG0000072	MT926123.1_00009	MG570132.1_00010
OG0000073	MT926123.1_00012	MG570132.1_00013
OG0000074	MT926123.1_00016	MG570132.1_00017
OG0000075	MT926123.1_00036	MG570132.1_00035
