Orthogroup	OL310752.1	MN803438.1
OG0000000	OL310752.1_00108, OL310752.1_00113	MN803438.1_00124
OG0000001	OL310752.1_00019	MN803438.1_00023
OG0000003	OL310752.1_00018	MN803438.1_00101, MN803438.1_00056
OG0000004	OL310752.1_00012	MN803438.1_00113
OG0000005	OL310752.1_00107	MN803438.1_00106
OG0000006	OL310752.1_00078	MN803438.1_00142
OG0000007	OL310752.1_00042	MN803438.1_00027
OG0000008	OL310752.1_00060	MN803438.1_00104
OG0000009	OL310752.1_00116	MN803438.1_00109
OG0000010	OL310752.1_00021	MN803438.1_00089
OG0000011	OL310752.1_00004	MN803438.1_00128
OG0000012	OL310752.1_00114	MN803438.1_00068
OG0000013	OL310752.1_00085	MN803438.1_00035
OG0000014	OL310752.1_00083	MN803438.1_00013
OG0000015	OL310752.1_00096	MN803438.1_00007
OG0000016	OL310752.1_00027	MN803438.1_00049
OG0000017	OL310752.1_00046	MN803438.1_00097
OG0000018	OL310752.1_00045	MN803438.1_00122
OG0000019	OL310752.1_00065	MN803438.1_00051
OG0000020	OL310752.1_00071	MN803438.1_00070
OG0000021	OL310752.1_00072	MN803438.1_00046
OG0000022	OL310752.1_00052	MN803438.1_00077
OG0000023	OL310752.1_00036	MN803438.1_00071
OG0000024	OL310752.1_00062	MN803438.1_00126
OG0000026	OL310752.1_00044	MN803438.1_00037
OG0000027	OL310752.1_00087	MN803438.1_00054
OG0000028	OL310752.1_00020	MN803438.1_00145
