Orthogroup	OL774654.1	LS484712.1
OG0000000	OL774654.1_00031	LS484712.1_00114
OG0000001	OL774654.1_00008	LS484712.1_00095
OG0000002	OL774654.1_00007	LS484712.1_00142
OG0000003	OL774654.1_00015	LS484712.1_00187
OG0000005	OL774654.1_00094	LS484712.1_00256
OG0000006	OL774654.1_00075	LS484712.1_00040
OG0000007	OL774654.1_00089	LS484712.1_00234, LS484712.1_00050
OG0000008	OL774654.1_00030	LS484712.1_00248
OG0000009	OL774654.1_00113	LS484712.1_00130
OG0000011	OL774654.1_00063	LS484712.1_00203
OG0000012	OL774654.1_00022	LS484712.1_00200
OG0000013	OL774654.1_00057	LS484712.1_00143
OG0000014	OL774654.1_00121	LS484712.1_00202
OG0000015	OL774654.1_00122	LS484712.1_00135
OG0000016	OL774654.1_00086	LS484712.1_00048
OG0000017	OL774654.1_00034	LS484712.1_00240
OG0000018	OL774654.1_00106	LS484712.1_00053
OG0000019	OL774654.1_00085	LS484712.1_00192
OG0000020	OL774654.1_00032	LS484712.1_00188
OG0000021	OL774654.1_00005	LS484712.1_00096
OG0000022	OL774654.1_00036	LS484712.1_00194
OG0000023	OL774654.1_00045	LS484712.1_00117
OG0000024	OL774654.1_00027	LS484712.1_00149
OG0000068	OL774654.1_00067	LS484712.1_00002
