Orthogroup	HF920637.1	OL310752.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OL310752.1_00108, OL310752.1_00113
OG0000001	HF920637.1_00143	OL310752.1_00019
OG0000003	HF920637.1_00059	OL310752.1_00018
OG0000004	HF920637.1_00159	OL310752.1_00012
OG0000005	HF920637.1_00176, HF920637.1_00175	OL310752.1_00107
OG0000006	HF920637.1_00121	OL310752.1_00078
OG0000007	HF920637.1_00172	OL310752.1_00042
OG0000008	HF920637.1_00025	OL310752.1_00060
OG0000009	HF920637.1_00153	OL310752.1_00116
OG0000010	HF920637.1_00041	OL310752.1_00021
OG0000011	HF920637.1_00001	OL310752.1_00004
OG0000012	HF920637.1_00031	OL310752.1_00114
OG0000013	HF920637.1_00073	OL310752.1_00085
OG0000014	HF920637.1_00213	OL310752.1_00083
OG0000015	HF920637.1_00017	OL310752.1_00096
OG0000016	HF920637.1_00217	OL310752.1_00027
OG0000017	HF920637.1_00197	OL310752.1_00046
OG0000018	HF920637.1_00079	OL310752.1_00045
OG0000019	HF920637.1_00111	OL310752.1_00065
OG0000020	HF920637.1_00108	OL310752.1_00071
OG0000021	HF920637.1_00152	OL310752.1_00072
OG0000022	HF920637.1_00033	OL310752.1_00052
OG0000023	HF920637.1_00221	OL310752.1_00036
OG0000024	HF920637.1_00203	OL310752.1_00062
OG0000025	HF920637.1_00156	OL310752.1_00028
OG0000028	HF920637.1_00127	OL310752.1_00020
