Orthogroup	MCV_ML1_SDDV_MT521409.1	Chlor_AMIV_KF938901.1
OG0000000	MCV_ML1_SDDV_MT521409.1_00103	Chlor_AMIV_KF938901.1_00126
OG0000001	MCV_ML1_SDDV_MT521409.1_00081	Chlor_AMIV_KF938901.1_00044
OG0000002	MCV_ML1_SDDV_MT521409.1_00082	Chlor_AMIV_KF938901.1_00080
OG0000003	MCV_ML1_SDDV_MT521409.1_00088	Chlor_AMIV_KF938901.1_00005
OG0000004	MCV_ML1_SDDV_MT521409.1_00061	Chlor_AMIV_KF938901.1_00043
OG0000005	MCV_ML1_SDDV_MT521409.1_00053	Chlor_AMIV_KF938901.1_00053
OG0000006	MCV_ML1_SDDV_MT521409.1_00100	Chlor_AMIV_KF938901.1_00067
OG0000007	MCV_ML1_SDDV_MT521409.1_00117	Chlor_AMIV_KF938901.1_00072
OG0000008	MCV_ML1_SDDV_MT521409.1_00060	Chlor_AMIV_KF938901.1_00114
OG0000009	MCV_ML1_SDDV_MT521409.1_00057	Chlor_AMIV_KF938901.1_00125
OG0000011	MCV_ML1_SDDV_MT521409.1_00047	Chlor_AMIV_KF938901.1_00012
OG0000012	MCV_ML1_SDDV_MT521409.1_00008	Chlor_AMIV_KF938901.1_00023
OG0000013	MCV_ML1_SDDV_MT521409.1_00064	Chlor_AMIV_KF938901.1_00025
OG0000014	MCV_ML1_SDDV_MT521409.1_00048	Chlor_AMIV_KF938901.1_00046
OG0000015	MCV_ML1_SDDV_MT521409.1_00012	Chlor_AMIV_KF938901.1_00047
OG0000016	MCV_ML1_SDDV_MT521409.1_00097	Chlor_AMIV_KF938901.1_00054
OG0000017	MCV_ML1_SDDV_MT521409.1_00039	Chlor_AMIV_KF938901.1_00060
OG0000018	MCV_ML1_SDDV_MT521409.1_00059	Chlor_AMIV_KF938901.1_00074
OG0000019	MCV_ML1_SDDV_MT521409.1_00129	Chlor_AMIV_KF938901.1_00092
OG0000020	MCV_ML1_SDDV_MT521409.1_00134	Chlor_AMIV_KF938901.1_00095
OG0000021	MCV_ML1_SDDV_MT521409.1_00011	Chlor_AMIV_KF938901.1_00123
OG0000022	MCV_ML1_SDDV_MT521409.1_00125	Chlor_AMIV_KF938901.1_00124
OG0000023	MCV_ML1_SDDV_MT521409.1_00024	Chlor_AMIV_KF938901.1_00031
OG0000024	MCV_ML1_SDDV_MT521409.1_00074	Chlor_AMIV_KF938901.1_00094
OG0000025	MCV_ML1_SDDV_MT521409.1_00114	Chlor_AMIV_KF938901.1_00093
OG0000139	MCV_ML1_SDDV_MT521409.1_00070	Chlor_AMIV_KF938901.1_00108
