Orthogroup	MT986830.1	NC_005946.1
OG0000000	MT986830.1_00033	NC_005946.1_00010
OG0000001	MT986830.1_00008	NC_005946.1_00053
OG0000002	MT986830.1_00007	NC_005946.1_00091
OG0000003	MT986830.1_00015	NC_005946.1_00057
OG0000004	MT986830.1_00116	NC_005946.1_00028
OG0000005	MT986830.1_00100	NC_005946.1_00014
OG0000006	MT986830.1_00080	NC_005946.1_00042
OG0000007	MT986830.1_00094	NC_005946.1_00002
OG0000008	MT986830.1_00032	NC_005946.1_00095
OG0000009	MT986830.1_00117	NC_005946.1_00092
OG0000011	MT986830.1_00065	NC_005946.1_00011
OG0000012	MT986830.1_00022	NC_005946.1_00060
OG0000013	MT986830.1_00059	NC_005946.1_00022
OG0000014	MT986830.1_00125	NC_005946.1_00016
OG0000015	MT986830.1_00126	NC_005946.1_00021
OG0000016	MT986830.1_00091	NC_005946.1_00082
OG0000017	MT986830.1_00036	NC_005946.1_00087
OG0000018	MT986830.1_00111	NC_005946.1_00023
OG0000019	MT986830.1_00090	NC_005946.1_00094
OG0000020	MT986830.1_00034	NC_005946.1_00083
OG0000021	MT986830.1_00005	NC_005946.1_00038
OG0000022	MT986830.1_00038	NC_005946.1_00061
OG0000023	MT986830.1_00046	NC_005946.1_00089
OG0000024	MT986830.1_00029	NC_005946.1_00067
OG0000026	MT986830.1_00114	NC_005946.1_00086
OG0000027	MT986830.1_00092	NC_005946.1_00049
OG0000028	MT986830.1_00049	NC_005946.1_00085
OG0000112	MT986830.1_00084	NC_005946.1_00006
