Orthogroup	MT798582.1	L63545.1
OG0000000	MT798582.1_00076	L63545.1_00007
OG0000001	MT798582.1_00019	L63545.1_00079
OG0000003	MT798582.1_00018	L63545.1_00035
OG0000004	MT798582.1_00012	L63545.1_00076
OG0000005	MT798582.1_00077	L63545.1_00108
OG0000006	MT798582.1_00088	L63545.1_00093
OG0000007	MT798582.1_00116	L63545.1_00090
OG0000008	MT798582.1_00037	L63545.1_00001
OG0000009	MT798582.1_00036	L63545.1_00024
OG0000010	MT798582.1_00021	L63545.1_00043
OG0000011	MT798582.1_00004	L63545.1_00071
OG0000012	MT798582.1_00075	L63545.1_00098
OG0000013	MT798582.1_00073	L63545.1_00072
OG0000014	MT798582.1_00071	L63545.1_00013
OG0000015	MT798582.1_00049	L63545.1_00004
OG0000016	MT798582.1_00100	L63545.1_00069
OG0000017	MT798582.1_00120	L63545.1_00009
OG0000018	MT798582.1_00119	L63545.1_00073
OG0000019	MT798582.1_00042	L63545.1_00068
OG0000020	MT798582.1_00028	L63545.1_00030
OG0000021	MT798582.1_00027	L63545.1_00110
OG0000022	MT798582.1_00062	L63545.1_00054
OG0000023	MT798582.1_00111	L63545.1_00056
OG0000024	MT798582.1_00039	L63545.1_00002
OG0000026	MT798582.1_00118	L63545.1_00058
OG0000027	MT798582.1_00059	L63545.1_00003
