Orthogroup	MCV_MP1_ISKNV_AF371960.1	Rana_SGIV_AY521625.1
OG0000000	MCV_MP1_ISKNV_AF371960.1_00031	Rana_SGIV_AY521625.1_00091
OG0000001	MCV_MP1_ISKNV_AF371960.1_00007	Rana_SGIV_AY521625.1_00064
OG0000002	MCV_MP1_ISKNV_AF371960.1_00008	Rana_SGIV_AY521625.1_00077
OG0000003	MCV_MP1_ISKNV_AF371960.1_00015	Rana_SGIV_AY521625.1_00130
OG0000004	MCV_MP1_ISKNV_AF371960.1_00112	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	MCV_MP1_ISKNV_AF371960.1_00092	Rana_SGIV_AY521625.1_00016
OG0000006	MCV_MP1_ISKNV_AF371960.1_00030	Rana_SGIV_AY521625.1_00085
OG0000007	MCV_MP1_ISKNV_AF371960.1_00078	Rana_SGIV_AY521625.1_00051
OG0000008	MCV_MP1_ISKNV_AF371960.1_00113	Rana_SGIV_AY521625.1_00142
OG0000009	MCV_MP1_ISKNV_AF371960.1_00096	Rana_SGIV_AY521625.1_00100
OG0000011	MCV_MP1_ISKNV_AF371960.1_00088	Rana_SGIV_AY521625.1_00086
OG0000012	MCV_MP1_ISKNV_AF371960.1_00036	Rana_SGIV_AY521625.1_00065
OG0000013	MCV_MP1_ISKNV_AF371960.1_00107	Rana_SGIV_AY521625.1_00047
OG0000014	MCV_MP1_ISKNV_AF371960.1_00089	Rana_SGIV_AY521625.1_00073
OG0000015	MCV_MP1_ISKNV_AF371960.1_00032	Rana_SGIV_AY521625.1_00074
OG0000016	MCV_MP1_ISKNV_AF371960.1_00021	Rana_SGIV_AY521625.1_00110
OG0000017	MCV_MP1_ISKNV_AF371960.1_00057	Rana_SGIV_AY521625.1_00048
OG0000018	MCV_MP1_ISKNV_AF371960.1_00121	Rana_SGIV_AY521625.1_00115
OG0000019	MCV_MP1_ISKNV_AF371960.1_00064	Rana_SGIV_AY521625.1_00053
OG0000020	MCV_MP1_ISKNV_AF371960.1_00122	Rana_SGIV_AY521625.1_00035
OG0000021	MCV_MP1_ISKNV_AF371960.1_00034	Rana_SGIV_AY521625.1_00059
OG0000022	MCV_MP1_ISKNV_AF371960.1_00005	Rana_SGIV_AY521625.1_00054
OG0000023	MCV_MP1_ISKNV_AF371960.1_00045	Rana_SGIV_AY521625.1_00062
OG0000024	MCV_MP1_ISKNV_AF371960.1_00027	Rana_SGIV_AY521625.1_00042
OG0000026	MCV_MP1_ISKNV_AF371960.1_00110	Rana_SGIV_AY521625.1_00060
OG0000027	MCV_MP1_ISKNV_AF371960.1_00090	Rana_SGIV_AY521625.1_00022
OG0000032	MCV_MP1_ISKNV_AF371960.1_00001	Rana_SGIV_AY521625.1_00004
