Orthogroup	KF938901	LS484712
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	LS484712.1_00114 hypothetical protein
OG0000001	KF938901.1_00080 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	KF938901.1_00044 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	KF938901.1_00023 DNA-directed RNA polymerase subunit 2, KF938901.1_00022 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	KF938901.1_00060 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	KF938901.1_00092 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	KF938901.1_00012 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	KF938901.1_00053 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	KF938901.1_00025 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	KF938901.1_00074 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	KF938901.1_00095 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	KF938901.1_00123 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000019	KF938901.1_00072 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000128	KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein	LS484712.1_00198 hypothetical protein
OG0000132	KF938901.1_00086 hypothetical protein	LS484712.1_00057 hypothetical protein
OG0000135	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000136	KF938901.1_00065 hypothetical protein	LS484712.1_00063 hypothetical protein
OG0000142	KF938901.1_00069 hypothetical protein	LS484712.1_00133 hypothetical protein
OG0000143	KF938901.1_00007 hypothetical protein	LS484712.1_00197 hypothetical protein
OG0000146	KF938901.1_00112 hypothetical protein	LS484712.1_00211 hypothetical protein
OG0000161	KF938901.1_00102 hypothetical protein	LS484712.1_00116 hypothetical protein
OG0000162	KF938901.1_00075 hypothetical protein	LS484712.1_00113 hypothetical protein
OG0000163	KF938901.1_00117 hypothetical protein	LS484712.1_00140 hypothetical protein
OG0000164	KF938901.1_00103 hypothetical protein	LS484712.1_00195 hypothetical protein
OG0000165	KF938901.1_00128 DNA ligase	LS484712.1_00212 hypothetical protein
OG0000166	KF938901.1_00121 hypothetical protein	LS484712.1_00112 hypothetical protein
OG0000170	KF938901.1_00150 hypothetical protein	LS484712.1_00184 hypothetical protein
OG0000187	KF938901.1_00063 hypothetical protein	LS484712.1_00196 hypothetical protein
OG0000189	KF938901.1_00139 hypothetical protein	LS484712.1_00224 hypothetical protein
OG0000192	KF938901.1_00077 hypothetical protein	LS484712.1_00060 hypothetical protein
OG0000195	KF938901.1_00010 hypothetical protein	LS484712.1_00163 hypothetical protein
OG0000196	KF938901.1_00008 hypothetical protein	LS484712.1_00120 hypothetical protein
OG0000197	KF938901.1_00113 hypothetical protein	LS484712.1_00106 hypothetical protein
OG0000213	KF938901.1_00029 hypothetical protein	LS484712.1_00233 hypothetical protein
OG0000271	KF938901.1_00050 hypothetical protein	LS484712.1_00207 hypothetical protein
OG0000272	KF938901.1_00083 hypothetical protein	LS484712.1_00206 hypothetical protein
OG0000273	KF938901.1_00013 hypothetical protein	LS484712.1_00201 hypothetical protein
