Orthogroup	KF938901	MK637631
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	MK637631_00115 hypothetical protein
OG0000001	KF938901.1_00080 hypothetical protein	MK637631_00025 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	MK637631_00030 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	MK637631_00114 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	MK637631_00105 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	MK637631_00070 hypothetical protein
OG0000006	KF938901.1_00044 Major capsid protein	MK637631_00044 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	MK637631_00017 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	MK637631_00043 hypothetical protein
OG0000009	KF938901.1_00023 DNA-directed RNA polymerase subunit 2, KF938901.1_00022 DNA-directed RNA polymerase subunit 2	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	KF938901.1_00060 hypothetical protein	MK637631_00086 hypothetical protein
OG0000011	KF938901.1_00092 hypothetical protein	MK637631_00066 hypothetical protein
OG0000012	KF938901.1_00012 hypothetical protein	MK637631_00011 hypothetical protein
OG0000013	KF938901.1_00053 hypothetical protein	MK637631_00056 hypothetical protein
OG0000014	KF938901.1_00025 hypothetical protein	MK637631_00100 hypothetical protein
OG0000015	KF938901.1_00074 hypothetical protein	MK637631_00106 hypothetical protein
OG0000016	KF938901.1_00095 hypothetical protein	MK637631_00046 hypothetical protein
OG0000017	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	KF938901.1_00072 hypothetical protein	MK637631_00094 hypothetical protein
OG0000020	KF938901.1_00046 hypothetical protein	MK637631_00010 hypothetical protein
OG0000021	KF938901.1_00125 hypothetical protein	MK637631_00110 hypothetical protein
OG0000022	KF938901.1_00043 hypothetical protein	MK637631_00104 hypothetical protein
OG0000025	KF938901.1_00093 hypothetical protein	MK637631_00006 hypothetical protein
