Orthogroup	MN562489.1	MF599468.1
OG0000000	MN562489.1_00102	MF599468.1_00057, MF599468.1_00056
OG0000001	MN562489.1_00081	MF599468.1_00163
OG0000002	MN562489.1_00080	MF599468.1_00152
OG0000003	MN562489.1_00087	MF599468.1_00011
OG0000004	MN562489.1_00060	MF599468.1_00092
OG0000005	MN562489.1_00056	MF599468.1_00154
OG0000006	MN562489.1_00116	MF599468.1_00010
OG0000007	MN562489.1_00052	MF599468.1_00174
OG0000008	MN562489.1_00099	MF599468.1_00030
OG0000009	MN562489.1_00059	MF599468.1_00075
OG0000011	MN562489.1_00128	MF599468.1_00149
OG0000012	MN562489.1_00096	MF599468.1_00112
OG0000013	MN562489.1_00038	MF599468.1_00033
OG0000014	MN562489.1_00058	MF599468.1_00122
OG0000015	MN562489.1_00133	MF599468.1_00009
OG0000016	MN562489.1_00047	MF599468.1_00046
OG0000017	MN562489.1_00011	MF599468.1_00035
OG0000018	MN562489.1_00063	MF599468.1_00117
OG0000019	MN562489.1_00046	MF599468.1_00106
OG0000020	MN562489.1_00012	MF599468.1_00090
OG0000021	MN562489.1_00124	MF599468.1_00116
OG0000022	MN562489.1_00008	MF599468.1_00071
OG0000023	MN562489.1_00023	MF599468.1_00171
OG0000026	MN562489.1_00062	MF599468.1_00039
OG0000047	MN562489.1_00039	MF599468.1_00013
OG0000173	MN562489.1_00114	MF599468.1_00098
