Orthogroup	MN562489.1	AY521625.1
OG0000000	MN562489.1_00102	AY521625.1_00091
OG0000001	MN562489.1_00081	AY521625.1_00077
OG0000002	MN562489.1_00080	AY521625.1_00064
OG0000003	MN562489.1_00087	AY521625.1_00130
OG0000004	MN562489.1_00060	AY521625.1_00069, AY521625.1_00070
OG0000005	MN562489.1_00056	AY521625.1_00100
OG0000006	MN562489.1_00116	AY521625.1_00051
OG0000007	MN562489.1_00052	AY521625.1_00016
OG0000008	MN562489.1_00099	AY521625.1_00085
OG0000009	MN562489.1_00059	AY521625.1_00142
OG0000011	MN562489.1_00128	AY521625.1_00053
OG0000012	MN562489.1_00096	AY521625.1_00110
OG0000013	MN562489.1_00038	AY521625.1_00048
OG0000014	MN562489.1_00058	AY521625.1_00115
OG0000015	MN562489.1_00133	AY521625.1_00035
OG0000016	MN562489.1_00047	AY521625.1_00073
OG0000017	MN562489.1_00011	AY521625.1_00059
OG0000018	MN562489.1_00063	AY521625.1_00047
OG0000019	MN562489.1_00046	AY521625.1_00086
OG0000020	MN562489.1_00012	AY521625.1_00074
OG0000021	MN562489.1_00124	AY521625.1_00054
OG0000022	MN562489.1_00008	AY521625.1_00065
OG0000023	MN562489.1_00023	AY521625.1_00062
OG0000024	MN562489.1_00073	AY521625.1_00042
OG0000026	MN562489.1_00062	AY521625.1_00060
OG0000027	MN562489.1_00049	AY521625.1_00022
OG0000030	MN562489.1_00107	AY521625.1_00004
OG0000141	MN562489.1_00009, MN562489.1_00070	AY521625.1_00046
OG0000151	MN562489.1_00136	AY521625.1_00002
