Orthogroup	OQ475017	LS484712
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	LS484712.1_00114 hypothetical protein
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	LS484712.1_00095 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	LS484712.1_00187 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	LS484712.1_00248 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	LS484712.1_00130 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	LS484712.1_00096 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	LS484712.1_00142 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	LS484712.1_00200 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	LS484712.1_00188 hypothetical protein
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	LS484712.1_00143 hypothetical protein
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	LS484712.1_00203 hypothetical protein
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	LS484712.1_00192 hypothetical protein
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	LS484712.1_00050 hypothetical protein
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	LS484712.1_00053 hypothetical protein
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	LS484712.1_00202 hypothetical protein
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	LS484712.1_00135 hypothetical protein
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	LS484712.1_00240 hypothetical protein
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	LS484712.1_00040 hypothetical protein
OG0000024	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	LS484712.1_00117 hypothetical protein
OG0000065	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation	LS484712.1_00002 hypothetical protein
