Orthogroup	OQ475017	MN562489
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	OM037668.1_00035 hypothetical protein
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	OM037668.1_00056 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	SDDV_ORF038 Flap endonuclease
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	OM037668.1_00077 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	OM037668.1_00013 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	OM037668.1_00057 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	OM037668.1_00041 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	OM037668.1_00123 hypothetical protein
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	OM037668.1_00098 hypothetical protein
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	OM037668.1_00009 hypothetical protein
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	OM037668.1_00090 hypothetical protein
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	OM037668.1_00084 hypothetical protein
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	OM037668.1_00073 hypothetical protein
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	OM037668.1_00078 hypothetical protein
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	OM037668.1_00004 hypothetical protein
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	OM037668.1_00124 hypothetical protein
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	OM037668.1_00021 hypothetical protein
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	OM037668.1_00089 hypothetical protein
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	OM037668.1_00080 hypothetical protein
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	OM037668.1_00076 hypothetical protein
OG0000023	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation	SDDV_ORF011 Tripartite motif-containing protein, OM037668.1_00129 hypothetical protein, OM037668.1_00010 hypothetical protein
OG0000024	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	OM037668.1_00113 hypothetical protein
OG0000025	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	OM037668.1_00024 hypothetical protein
OG0000026	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	OM037668.1_00087 hypothetical protein
OG0000027	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	OM037668.1_00074 hypothetical protein
OG0000028	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	OM037668.1_00110 hypothetical protein
OG0000029	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation	OM037668.1_00099 hypothetical protein
OG0000030	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation	OM037668.1_00097 hypothetical protein
OG0000031	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation	OM037668.1_00030 hypothetical protein
OG0000032	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation	OM037668.1_00031 hypothetical protein
OG0000033	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation	OM037668.1_00005 hypothetical protein
OG0000034	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation	OM037668.1_00047 hypothetical protein
OG0000035	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation	OM037668.1_00046 hypothetical protein
OG0000036	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation	OM037668.1_00045 hypothetical protein
OG0000037	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation	OM037668.1_00040 hypothetical protein
OG0000038	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation	OM037668.1_00122 hypothetical protein
OG0000039	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	OM037668.1_00106 hypothetical protein
OG0000040	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	OM037668.1_00105 hypothetical protein
OG0000041	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation	OM037668.1_00096 hypothetical protein
OG0000042	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation	OM037668.1_00020 hypothetical protein
OG0000043	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation	OM037668.1_00019 hypothetical protein
OG0000044	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation	OM037668.1_00018 hypothetical protein
OG0000045	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation	OM037668.1_00130 hypothetical protein
OG0000046	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation	OM037668.1_00086 hypothetical protein
OG0000047	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	OM037668.1_00081 hypothetical protein
OG0000048	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation	OM037668.1_00032 hypothetical protein
OG0000049	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation	OM037668.1_00033 hypothetical protein
OG0000050	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation	OM037668.1_00075 hypothetical protein
OG0000051	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation	OM037668.1_00079 hypothetical protein
OG0000052	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation	OM037668.1_00091 hypothetical protein
OG0000053	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation	OM037668.1_00051 hypothetical protein
OG0000054	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation	OM037668.1_00048 hypothetical protein
OG0000055	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation	OM037668.1_00100 hypothetical protein
OG0000057	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation	OM037668.1_00134 hypothetical protein
OG0000058	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation	OM037668.1_00028 hypothetical protein
OG0000059	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation	OM037668.1_00003 hypothetical protein
OG0000061	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation	SDDV_ORF050 RING E3 ubiquitin ligase
OG0000062	OQ475017.1_00010 OQ475017.1 - hypothetical protein translation	OM037668.1_00054 hypothetical protein
OG0000066	OQ475017.1_00021 OQ475017.1 - hypothetical protein translation	OM037668.1_00042 hypothetical protein
OG0000107	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation	OM037668.1_00095 hypothetical protein
OG0000114	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation	OM037668.1_00085 hypothetical protein
OG0000116	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation	OM037668.1_00053 hypothetical protein
OG0000117	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation	OM037668.1_00101 hypothetical protein
