Orthogroup	OQ475017	KF938901
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	KF938901.1_00080 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	KF938901.1_00005 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	KF938901.1_00067 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	KF938901.1_00114 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	KF938901.1_00124 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	KF938901.1_00044 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	KF938901.1_00054 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	KF938901.1_00047 hypothetical protein
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	KF938901.1_00023 DNA-directed RNA polymerase subunit 2, KF938901.1_00022 DNA-directed RNA polymerase subunit 2
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	KF938901.1_00060 hypothetical protein
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	KF938901.1_00092 hypothetical protein
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	KF938901.1_00012 hypothetical protein
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	KF938901.1_00053 hypothetical protein
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	KF938901.1_00025 hypothetical protein
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	KF938901.1_00074 hypothetical protein
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	KF938901.1_00095 hypothetical protein
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000018	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	KF938901.1_00123 hypothetical protein
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	KF938901.1_00072 hypothetical protein
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	KF938901.1_00046 hypothetical protein
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	KF938901.1_00125 hypothetical protein
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	KF938901.1_00043 hypothetical protein
OG0000025	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	KF938901.1_00093 hypothetical protein
