Orthogroup	OQ475017	MN803438
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	MN803438.1_00124 hypothetical protein
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	MN803438.1_00101 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	MN803438.1_00113 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	MN803438.1_00106 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	MN803438.1_00109 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	MN803438.1_00089 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	MN803438.1_00023 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	MN803438.1_00128 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	MN803438.1_00068 hypothetical protein
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	MN803438.1_00013 hypothetical protein
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	MN803438.1_00007 hypothetical protein
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	MN803438.1_00049 hypothetical protein
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	MN803438.1_00097 hypothetical protein
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	MN803438.1_00027 hypothetical protein
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	MN803438.1_00051 hypothetical protein
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	MN803438.1_00070 hypothetical protein
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	MN803438.1_00046 hypothetical protein
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	MN803438.1_00024 hypothetical protein
OG0000018	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	MN803438.1_00035 hypothetical protein
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	MN803438.1_00142 hypothetical protein
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	MN803438.1_00122 hypothetical protein
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	MN803438.1_00071 hypothetical protein
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	MN803438.1_00104 hypothetical protein
OG0000023	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation	MN803438.1_00145 hypothetical protein
OG0000024	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	MN803438.1_00077 hypothetical protein
OG0000026	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	MN803438.1_00037 hypothetical protein
OG0000027	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	MN803438.1_00126 hypothetical protein
OG0000028	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	MN803438.1_00054 hypothetical protein
