Orthogroup	OQ475017	MK637631
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	MK637631_00115 hypothetical protein
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	MK637631_00025 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	MK637631_00030 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	MK637631_00114 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	MK637631_00105 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	MK637631_00070 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	MK637631_00044 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	MK637631_00017 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	MK637631_00043 hypothetical protein
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	MK637631_00086 hypothetical protein
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	MK637631_00066 hypothetical protein
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	MK637631_00011 hypothetical protein
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	MK637631_00056 hypothetical protein
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	MK637631_00100 hypothetical protein
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	MK637631_00106 hypothetical protein
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	MK637631_00046 hypothetical protein
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	MK637631_00094 hypothetical protein
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	MK637631_00010 hypothetical protein
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	MK637631_00110 hypothetical protein
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	MK637631_00104 hypothetical protein
OG0000023	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation	MK637631_00068 hypothetical protein, MK637631_00067 hypothetical protein
OG0000024	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	MK637631_00074 hypothetical protein
OG0000025	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	MK637631_00006 hypothetical protein
OG0000026	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	MK637631_00037 hypothetical protein
OG0000027	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	MK637631_00101 hypothetical protein
OG0000028	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	MK637631_00077 hypothetical protein
OG0000029	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation	MK637631_00084 hypothetical protein, MK637631_00085 hypothetical protein
OG0000030	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation	MK637631_00087 hypothetical protein
OG0000031	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation	MK637631_00001 hypothetical protein
OG0000032	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation	MK637631_00119 hypothetical protein
OG0000033	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation	ECIV_ORF26_refgen RING E3 ubiquitin ligase
OG0000034	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation	MK637631_00033 hypothetical protein
