Orthogroup	MCV_ML1_SDDV_OM037668.1	Irido_IIV6_AF303741.1
OG0000000	MCV_ML1_SDDV_OM037668.1_00035	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_ML1_SDDV_OM037668.1_00057	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_ML1_SDDV_OM037668.1_00056	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_ML1_SDDV_OM037668.1_00050	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_ML1_SDDV_OM037668.1_00076	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_ML1_SDDV_OM037668.1_00084	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_ML1_SDDV_OM037668.1_00038	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_ML1_SDDV_OM037668.1_00021	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_ML1_SDDV_OM037668.1_00077	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_ML1_SDDV_OM037668.1_00080	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_ML1_SDDV_OM037668.1_00090	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_ML1_SDDV_OM037668.1_00127	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_ML1_SDDV_OM037668.1_00073	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_ML1_SDDV_OM037668.1_00089	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_ML1_SDDV_OM037668.1_00123	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_ML1_SDDV_OM037668.1_00041	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_ML1_SDDV_OM037668.1_00098	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_ML1_SDDV_OM037668.1_00078	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_ML1_SDDV_OM037668.1_00009	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_ML1_SDDV_OM037668.1_00004	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_ML1_SDDV_OM037668.1_00124	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_ML1_SDDV_OM037668.1_00013	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_ML1_SDDV_OM037668.1_00113	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_ML1_SDDV_OM037668.1_00064	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_ML1_SDDV_OM037668.1_00024	Irido_IIV6_AF303741.1_00051
OG0000139	MCV_ML1_SDDV_OM037668.1_00068	Irido_IIV6_AF303741.1_00101
OG0000178	MCV_ML1_SDDV_OM037668.1_00023	Irido_IIV6_AF303741.1_00117
OG0000179	MCV_ML1_SDDV_OM037668.1_00022	Irido_IIV6_AF303741.1_00009
