Orthogroup	MCV_ML1_SDDV_OM037668.1	Daphi_LS484712.1
OG0000000	MCV_ML1_SDDV_OM037668.1_00035	Daphi_LS484712.1_00114
OG0000001	MCV_ML1_SDDV_OM037668.1_00057	Daphi_LS484712.1_00142
OG0000002	MCV_ML1_SDDV_OM037668.1_00056	Daphi_LS484712.1_00095
OG0000003	MCV_ML1_SDDV_OM037668.1_00050	Daphi_LS484712.1_00187
OG0000005	MCV_ML1_SDDV_OM037668.1_00084	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	MCV_ML1_SDDV_OM037668.1_00038	Daphi_LS484712.1_00248
OG0000007	MCV_ML1_SDDV_OM037668.1_00021	Daphi_LS484712.1_00040
OG0000008	MCV_ML1_SDDV_OM037668.1_00077	Daphi_LS484712.1_00130
OG0000009	MCV_ML1_SDDV_OM037668.1_00080	Daphi_LS484712.1_00256
OG0000011	MCV_ML1_SDDV_OM037668.1_00090	Daphi_LS484712.1_00192
OG0000012	MCV_ML1_SDDV_OM037668.1_00127	Daphi_LS484712.1_00194
OG0000013	MCV_ML1_SDDV_OM037668.1_00073	Daphi_LS484712.1_00053
OG0000014	MCV_ML1_SDDV_OM037668.1_00089	Daphi_LS484712.1_00048
OG0000015	MCV_ML1_SDDV_OM037668.1_00123	Daphi_LS484712.1_00188
OG0000016	MCV_ML1_SDDV_OM037668.1_00041	Daphi_LS484712.1_00200
OG0000017	MCV_ML1_SDDV_OM037668.1_00098	Daphi_LS484712.1_00143
OG0000018	MCV_ML1_SDDV_OM037668.1_00078	Daphi_LS484712.1_00202
OG0000019	MCV_ML1_SDDV_OM037668.1_00009	Daphi_LS484712.1_00203
OG0000020	MCV_ML1_SDDV_OM037668.1_00004	Daphi_LS484712.1_00135
OG0000021	MCV_ML1_SDDV_OM037668.1_00124	Daphi_LS484712.1_00240
OG0000022	MCV_ML1_SDDV_OM037668.1_00013	Daphi_LS484712.1_00096
OG0000023	MCV_ML1_SDDV_OM037668.1_00113	Daphi_LS484712.1_00117
OG0000024	MCV_ML1_SDDV_OM037668.1_00064	Daphi_LS484712.1_00149
OG0000204	MCV_ML1_SDDV_OM037668.1_00017	Daphi_LS484712.1_00024
