Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
putative ribonucleotide reductase small subunit [Infectious spleen and kidney necrosis virus],Infectious spleen and kidney necrosis virus,651,651,100%,0.0,100.00,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_612246.1?report=genbank&log$=prottop&blast_rank=1&RID=6EDRKX7H016"",""NP_612246.1"")"
ribonucleotide reductase small subunit [Infectious spleen and kidney necrosis virus],Infectious spleen and kidney necrosis virus,650,650,100%,0.0,100.00,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AMM04435.1?report=genbank&log$=prottop&blast_rank=2&RID=6EDRKX7H016"",""AMM04435.1"")"
ribonucleotide diphosphate reductase small subunit [Infectious spleen and kidney necrosis virus],Infectious spleen and kidney necrosis virus,648,648,100%,0.0,99.36,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UWH18813.1?report=genbank&log$=prottop&blast_rank=3&RID=6EDRKX7H016"",""UWH18813.1"")"
ribonucleotide reductase beta subunit [Banggai cardinalfish iridovirus],Banggai cardinalfish iridovirus,647,647,100%,0.0,99.36,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJC63377.1?report=genbank&log$=prottop&blast_rank=4&RID=6EDRKX7H016"",""QJC63377.1"")"
ORF023R [Largemouth bass ulcerative syndrome virus],Largemouth bass ulcerative syndrome virus,644,644,100%,0.0,99.04,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WEP24562.1?report=genbank&log$=prottop&blast_rank=5&RID=6EDRKX7H016"",""WEP24562.1"")"
RecName: Full=Ribonucleoside-diphosphate reductase small chain; AltName: Full=Ribonucleotide reductase small subunit [Red seabream iridovirus],Red seabream iridovirus,634,634,100%,0.0,96.47,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9QTF2.1?report=genbank&log$=prottop&blast_rank=6&RID=6EDRKX7H016"",""Q9QTF2.1"")"
ribonucleotide reductase small chain [Rock bream iridovirus],Rock bream iridovirus,632,632,100%,0.0,96.15,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAT71841.1?report=genbank&log$=prottop&blast_rank=7&RID=6EDRKX7H016"",""AAT71841.1"")"
ribonucleotide diphosphate reductase small subunit [Red seabream iridovirus],Red seabream iridovirus,632,632,100%,0.0,96.15,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIQ54588.1?report=genbank&log$=prottop&blast_rank=8&RID=6EDRKX7H016"",""QIQ54588.1"")"
ribonucleotide reductase small chain [orange spotted grouper iridovirus],orange spotted grouper iridovirus,630,630,100%,0.0,95.83,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAX82336.1?report=genbank&log$=prottop&blast_rank=9&RID=6EDRKX7H016"",""AAX82336.1"")"
ribonucleotide reductase small chain [Large yellow croaker iridovirus],Large yellow croaker iridovirus,630,630,100%,0.0,96.15,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQA04020.1?report=genbank&log$=prottop&blast_rank=10&RID=6EDRKX7H016"",""QQA04020.1"")"
ribonucleotide reductase small chain [Turbot reddish body iridovirus],Turbot reddish body iridovirus,629,629,100%,0.0,96.15,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADE34370.1?report=genbank&log$=prottop&blast_rank=11&RID=6EDRKX7H016"",""ADE34370.1"")"
ribonucleotide reductase beta subunit [South American cichlid iridovirus],South American cichlid iridovirus,624,624,100%,0.0,95.83,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVR29680.1?report=genbank&log$=prottop&blast_rank=12&RID=6EDRKX7H016"",""AVR29680.1"")"
ribonucleotide diphosphate reductase small subunit [Small yellow croaker iridovirus],Small yellow croaker iridovirus,510,510,81%,0.0,96.44,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UFQ21651.1?report=genbank&log$=prottop&blast_rank=13&RID=6EDRKX7H016"",""UFQ21651.1"")"
ribonucleotide reductase beta subunit [Infectious spleen and kidney necrosis virus],Infectious spleen and kidney necrosis virus,483,483,74%,2e-170,100.00,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPO16272.1?report=genbank&log$=prottop&blast_rank=14&RID=6EDRKX7H016"",""QPO16272.1"")"
MAG: ribonucleotide reductase small subunit [Threespine stickleback iridovirus],Threespine stickleback iridovirus,482,482,100%,5e-169,72.93,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XIT78978.1?report=genbank&log$=prottop&blast_rank=15&RID=6EDRKX7H016"",""XIT78978.1"")"
hypothetical protein CAPTEDRAFT_162025 [Capitella teleta],Capitella teleta,387,387,99%,2e-131,60.76,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELU14627.1?report=genbank&log$=prottop&blast_rank=16&RID=6EDRKX7H016"",""ELU14627.1"")"
ribonucleoside-diphosphate reductase subunit M2 B-like [Anneissia japonica],Anneissia japonica,389,389,99%,6e-131,60.26,400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033120953.1?report=genbank&log$=prottop&blast_rank=17&RID=6EDRKX7H016"",""XP_033120953.1"")"
ribonucleoside-diphosphate reductase subunit M2 B [Bufo gargarizans],Bufo gargarizans,387,387,99%,8e-131,60.38,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044148689.1?report=genbank&log$=prottop&blast_rank=18&RID=6EDRKX7H016"",""XP_044148689.1"")"
hypothetical protein ACEWY4_021812 [Coilia grayii],Coilia grayii,387,387,99%,2e-130,59.74,385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL2081994.1?report=genbank&log$=prottop&blast_rank=19&RID=6EDRKX7H016"",""KAL2081994.1"")"
ribonucleoside-diphosphate reductase subunit M2 [Clupea harengus],Clupea harengus,387,387,99%,2e-130,59.74,385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012679327.2?report=genbank&log$=prottop&blast_rank=20&RID=6EDRKX7H016"",""XP_012679327.2"")"
ribonucleoside-diphosphate reductase subunit M2 [Austrofundulus limnaeus],Austrofundulus limnaeus,387,387,99%,2e-130,59.11,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013881932.1?report=genbank&log$=prottop&blast_rank=21&RID=6EDRKX7H016"",""XP_013881932.1"")"
ribonucleoside-diphosphate reductase subunit M2 [Cyprinodon tularosa],Cyprinodon tularosa,387,387,99%,2e-130,59.74,385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038150222.1?report=genbank&log$=prottop&blast_rank=22&RID=6EDRKX7H016"",""XP_038150222.1"")"
PREDICTED: ribonucleoside-diphosphate reductase subunit M2 [Cyprinodon variegatus],Cyprinodon variegatus,387,387,99%,3e-130,59.74,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015237939.1?report=genbank&log$=prottop&blast_rank=23&RID=6EDRKX7H016"",""XP_015237939.1"")"
