Orthogroup	NC_027778.1	OK042109.1
OG0000000	NC_027778.1_00083	OK042109.1_00047
OG0000001	NC_027778.1_00062	OK042109.1_00068
OG0000002	NC_027778.1_00061	OK042109.1_00069
OG0000003	NC_027778.1_00068	OK042109.1_00061
OG0000004	NC_027778.1_00040	OK042109.1_00088
OG0000005	NC_027778.1_00036	OK042109.1_00105
OG0000006	NC_027778.1_00098	OK042109.1_00001
OG0000007	NC_027778.1_00032	OK042109.1_00110
OG0000008	NC_027778.1_00080	OK042109.1_00048
OG0000009	NC_027778.1_00039	OK042109.1_00086
OG0000010	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	OK042109.1_00123
OG0000011	NC_027778.1_00111	OK042109.1_00013
OG0000012	NC_027778.1_00077	OK042109.1_00054
OG0000013	NC_027778.1_00018	OK042109.1_00020
OG0000014	NC_027778.1_00038	OK042109.1_00078
OG0000015	NC_027778.1_00116	OK042109.1_00077
OG0000016	NC_027778.1_00027	OK042109.1_00113
OG0000017	NC_027778.1_00132	OK042109.1_00044
OG0000018	NC_027778.1_00043	OK042109.1_00093
OG0000019	NC_027778.1_00026	OK042109.1_00114
OG0000020	NC_027778.1_00133	OK042109.1_00046
OG0000021	NC_027778.1_00106	OK042109.1_00071
OG0000022	NC_027778.1_00129	OK042109.1_00042
OG0000023	NC_027778.1_00003	OK042109.1_00033
OG0000024	NC_027778.1_00054	OK042109.1_00051
OG0000026	NC_027778.1_00042	OK042109.1_00090
OG0000027	NC_027778.1_00029	OK042109.1_00112
OG0000028	NC_027778.1_00006	OK042109.1_00030
OG0000029	NC_027778.1_00021	OK042109.1_00015
OG0000030	NC_027778.1_00088	OK042109.1_00075
OG0000031	NC_027778.1_00108	OK042109.1_00070
OG0000032	NC_027778.1_00100	OK042109.1_00119
OG0000033	NC_027778.1_00030	OK042109.1_00111
OG0000034	NC_027778.1_00090	OK042109.1_00076
OG0000035	NC_027778.1_00067	OK042109.1_00063
OG0000036	NC_027778.1_00115	OK042109.1_00062
OG0000037	NC_027778.1_00072	OK042109.1_00057
OG0000038	NC_027778.1_00073	OK042109.1_00056
OG0000039	NC_027778.1_00078	OK042109.1_00053
OG0000040	NC_027778.1_00070	OK042109.1_00052
OG0000041	NC_027778.1_00117	OK042109.1_00045
OG0000042	NC_027778.1_00134	OK042109.1_00041
OG0000043	NC_027778.1_00010	OK042109.1_00028
OG0000044	NC_027778.1_00011	OK042109.1_00027
OG0000045	NC_027778.1_00016	OK042109.1_00022
OG0000046	NC_027778.1_00017	OK042109.1_00021
OG0000047	NC_027778.1_00019	OK042109.1_00019
OG0000048	NC_027778.1_00031	OK042109.1_00017
OG0000049	NC_027778.1_00020	OK042109.1_00016
OG0000050	NC_027778.1_00099	OK042109.1_00122
OG0000051	NC_027778.1_00101	OK042109.1_00118
OG0000052	NC_027778.1_00126	OK042109.1_00117
OG0000053	NC_027778.1_00035	OK042109.1_00106
OG0000054	NC_027778.1_00086	OK042109.1_00104
OG0000055	NC_027778.1_00085	OK042109.1_00101
OG0000056	NC_027778.1_00041	OK042109.1_00089
OG0000057	NC_027778.1_00037	OK042109.1_00084
OG0000058	NC_027778.1_00121	OK042109.1_00082
OG0000059	NC_027778.1_00087	OK042109.1_00074
OG0000060	NC_027778.1_00064	OK042109.1_00066
OG0000061	NC_027778.1_00071	OK042109.1_00058
OG0000062	NC_027778.1_00033	OK042109.1_00109
OG0000096	NC_027778.1_00025	OK042109.1_00080
OG0000114	NC_027778.1_00076	OK042109.1_00055
OG0000115	NC_027778.1_00065	OK042109.1_00065
OG0000116	NC_027778.1_00015	OK042109.1_00023
OG0000118	NC_027778.1_00034	OK042109.1_00108
