Orthogroup	NC_027778.1	HF920637.1
OG0000000	NC_027778.1_00083	HF920637.1_00129, HF920637.1_00164
OG0000001	NC_027778.1_00061	HF920637.1_00143
OG0000003	NC_027778.1_00062	HF920637.1_00059
OG0000004	NC_027778.1_00068	HF920637.1_00159
OG0000005	NC_027778.1_00080	HF920637.1_00176, HF920637.1_00175
OG0000006	NC_027778.1_00098	HF920637.1_00121
OG0000007	NC_027778.1_00032	HF920637.1_00172
OG0000008	NC_027778.1_00040	HF920637.1_00025
OG0000009	NC_027778.1_00039	HF920637.1_00153
OG0000010	NC_027778.1_00106	HF920637.1_00041
OG0000011	NC_027778.1_00077	HF920637.1_00001
OG0000012	NC_027778.1_00133	HF920637.1_00031
OG0000013	NC_027778.1_00132	HF920637.1_00073
OG0000014	NC_027778.1_00129	HF920637.1_00213
OG0000015	NC_027778.1_00018	HF920637.1_00017
OG0000016	NC_027778.1_00111	HF920637.1_00217
OG0000017	NC_027778.1_00026	HF920637.1_00197
OG0000018	NC_027778.1_00027	HF920637.1_00079
OG0000019	NC_027778.1_00043	HF920637.1_00111
OG0000020	NC_027778.1_00038	HF920637.1_00108
OG0000021	NC_027778.1_00116	HF920637.1_00152
OG0000022	NC_027778.1_00003	HF920637.1_00033
OG0000023	NC_027778.1_00036	HF920637.1_00221
OG0000024	NC_027778.1_00042	HF920637.1_00203
OG0000025	NC_027778.1_00094, NC_027778.1_00095	HF920637.1_00156
OG0000028	NC_027778.1_00108	HF920637.1_00127
OG0000149	NC_027778.1_00049	HF920637.1_00123
OG0000187	NC_027778.1_00097	HF920637.1_00013
