Orthogroup	NC_027778.1	MT986830.1
OG0000000	NC_027778.1_00083	MT986830.1_00033
OG0000001	NC_027778.1_00061	MT986830.1_00007
OG0000002	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	MT986830.1_00081
OG0000003	NC_027778.1_00062	MT986830.1_00008
OG0000004	NC_027778.1_00068	MT986830.1_00015
OG0000005	NC_027778.1_00080	MT986830.1_00032
OG0000006	NC_027778.1_00098	MT986830.1_00080
OG0000007	NC_027778.1_00032	MT986830.1_00094
OG0000008	NC_027778.1_00040	MT986830.1_00116
OG0000009	NC_027778.1_00039	MT986830.1_00117
OG0000010	NC_027778.1_00106	MT986830.1_00005
OG0000011	NC_027778.1_00077	MT986830.1_00022
OG0000012	NC_027778.1_00133	MT986830.1_00034
OG0000013	NC_027778.1_00132	MT986830.1_00036
OG0000014	NC_027778.1_00129	MT986830.1_00038
OG0000015	NC_027778.1_00018	MT986830.1_00059
OG0000016	NC_027778.1_00111	MT986830.1_00065
OG0000017	NC_027778.1_00026	MT986830.1_00090
OG0000018	NC_027778.1_00027	MT986830.1_00091
OG0000019	NC_027778.1_00043	MT986830.1_00111
OG0000020	NC_027778.1_00038	MT986830.1_00125
OG0000021	NC_027778.1_00116	MT986830.1_00126
OG0000022	NC_027778.1_00003	MT986830.1_00046
OG0000023	NC_027778.1_00036	MT986830.1_00100
OG0000024	NC_027778.1_00042	MT986830.1_00114
OG0000025	NC_027778.1_00094, NC_027778.1_00095	MT986830.1_00066
OG0000026	NC_027778.1_00029	MT986830.1_00092
OG0000027	NC_027778.1_00006	MT986830.1_00049
OG0000028	NC_027778.1_00108	MT986830.1_00006
OG0000029	NC_027778.1_00021	MT986830.1_00063
OG0000030	NC_027778.1_00088	MT986830.1_00001
OG0000031	NC_027778.1_00100	MT986830.1_00085
OG0000032	NC_027778.1_00030	MT986830.1_00093
OG0000033	NC_027778.1_00090	MT986830.1_00127
OG0000034	NC_027778.1_00067	MT986830.1_00013
OG0000035	NC_027778.1_00115	MT986830.1_00014
OG0000036	NC_027778.1_00072	MT986830.1_00019
OG0000037	NC_027778.1_00073	MT986830.1_00020
OG0000038	NC_027778.1_00078	MT986830.1_00023
OG0000039	NC_027778.1_00070	MT986830.1_00024
OG0000040	NC_027778.1_00117	MT986830.1_00035
OG0000041	NC_027778.1_00134	MT986830.1_00039
OG0000042	NC_027778.1_00010	MT986830.1_00051
OG0000043	NC_027778.1_00011	MT986830.1_00052
OG0000044	NC_027778.1_00016	MT986830.1_00057
OG0000045	NC_027778.1_00017	MT986830.1_00058
OG0000046	NC_027778.1_00019	MT986830.1_00060
OG0000047	NC_027778.1_00031	MT986830.1_00061
OG0000048	NC_027778.1_00020	MT986830.1_00062
OG0000049	NC_027778.1_00099	MT986830.1_00082
OG0000050	NC_027778.1_00101	MT986830.1_00086
OG0000051	NC_027778.1_00126	MT986830.1_00087
OG0000052	NC_027778.1_00035	MT986830.1_00099
OG0000053	NC_027778.1_00086	MT986830.1_00101
OG0000054	NC_027778.1_00085	MT986830.1_00104
OG0000055	NC_027778.1_00041	MT986830.1_00115
OG0000056	NC_027778.1_00037	MT986830.1_00119
OG0000057	NC_027778.1_00121	MT986830.1_00121
OG0000058	NC_027778.1_00087	MT986830.1_00002
OG0000059	NC_027778.1_00064	MT986830.1_00010
OG0000060	NC_027778.1_00071	MT986830.1_00018
OG0000061	NC_027778.1_00033	MT986830.1_00095
OG0000062	NC_027778.1_00054	MT986830.1_00029
OG0000096	NC_027778.1_00025	MT986830.1_00123
OG0000113	NC_027778.1_00076	MT986830.1_00021
OG0000114	NC_027778.1_00065	MT986830.1_00011
OG0000115	NC_027778.1_00015	MT986830.1_00056
OG0000129	NC_027778.1_00056	MT986830.1_00076
