Orthogroup	NC_027778.1	AY779031.1
OG0000000	NC_027778.1_00083	AY779031.1_00034
OG0000001	NC_027778.1_00061	AY779031.1_00007
OG0000002	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	AY779031.1_00085
OG0000003	NC_027778.1_00062	AY779031.1_00008
OG0000004	NC_027778.1_00068	AY779031.1_00015, AY779031.1_00016
OG0000005	NC_027778.1_00080	AY779031.1_00033
OG0000006	NC_027778.1_00098	AY779031.1_00083
OG0000007	NC_027778.1_00032	AY779031.1_00098
OG0000008	NC_027778.1_00040	AY779031.1_00121
OG0000009	NC_027778.1_00039	AY779031.1_00122
OG0000010	NC_027778.1_00106	AY779031.1_00005
OG0000011	NC_027778.1_00077	AY779031.1_00023
OG0000012	NC_027778.1_00133	AY779031.1_00035
OG0000013	NC_027778.1_00132	AY779031.1_00037
OG0000014	NC_027778.1_00129	AY779031.1_00039
OG0000015	NC_027778.1_00018	AY779031.1_00061
OG0000016	NC_027778.1_00111	AY779031.1_00068
OG0000017	NC_027778.1_00026	AY779031.1_00094
OG0000018	NC_027778.1_00027	AY779031.1_00095
OG0000019	NC_027778.1_00043	AY779031.1_00116
OG0000020	NC_027778.1_00038	AY779031.1_00129
OG0000021	NC_027778.1_00116	AY779031.1_00130
OG0000022	NC_027778.1_00003	AY779031.1_00049
OG0000023	NC_027778.1_00036	AY779031.1_00103
OG0000024	NC_027778.1_00042	AY779031.1_00119
OG0000025	NC_027778.1_00094, NC_027778.1_00095	AY779031.1_00069
OG0000026	NC_027778.1_00029	AY779031.1_00096
OG0000027	NC_027778.1_00006	AY779031.1_00052
OG0000028	NC_027778.1_00108	AY779031.1_00006
OG0000029	NC_027778.1_00021	AY779031.1_00066
OG0000030	NC_027778.1_00088	AY779031.1_00001
OG0000031	NC_027778.1_00100	AY779031.1_00089
OG0000032	NC_027778.1_00030	AY779031.1_00097
OG0000033	NC_027778.1_00090	AY779031.1_00131
OG0000034	NC_027778.1_00067	AY779031.1_00013
OG0000035	NC_027778.1_00115	AY779031.1_00014
OG0000036	NC_027778.1_00072	AY779031.1_00019
OG0000037	NC_027778.1_00073	AY779031.1_00020
OG0000038	NC_027778.1_00078	AY779031.1_00024
OG0000039	NC_027778.1_00070	AY779031.1_00025
OG0000040	NC_027778.1_00117	AY779031.1_00036
OG0000041	NC_027778.1_00134	AY779031.1_00040
OG0000042	NC_027778.1_00010	AY779031.1_00053
OG0000043	NC_027778.1_00011	AY779031.1_00054
OG0000044	NC_027778.1_00016	AY779031.1_00059
OG0000045	NC_027778.1_00017	AY779031.1_00060
OG0000046	NC_027778.1_00019	AY779031.1_00062
OG0000047	NC_027778.1_00031	AY779031.1_00063
OG0000048	NC_027778.1_00020	AY779031.1_00065
OG0000049	NC_027778.1_00099	AY779031.1_00086
OG0000050	NC_027778.1_00101	AY779031.1_00090
OG0000051	NC_027778.1_00126	AY779031.1_00091
OG0000052	NC_027778.1_00035	AY779031.1_00102
OG0000053	NC_027778.1_00086	AY779031.1_00104
OG0000054	NC_027778.1_00085	AY779031.1_00107
OG0000055	NC_027778.1_00041	AY779031.1_00120
OG0000056	NC_027778.1_00037	AY779031.1_00125
OG0000057	NC_027778.1_00121	AY779031.1_00127
OG0000058	NC_027778.1_00087	AY779031.1_00002
OG0000059	NC_027778.1_00064	AY779031.1_00010
OG0000061	NC_027778.1_00033	AY779031.1_00099
OG0000113	NC_027778.1_00076	AY779031.1_00022
OG0000114	NC_027778.1_00065	AY779031.1_00011
OG0000117	NC_027778.1_00034	AY779031.1_00100
