Orthogroup	NC_027778.1	MT798582.1
OG0000000	NC_027778.1_00083	MT798582.1_00076
OG0000001	NC_027778.1_00061	MT798582.1_00019
OG0000002	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	MT798582.1_00087
OG0000003	NC_027778.1_00062	MT798582.1_00018
OG0000004	NC_027778.1_00068	MT798582.1_00012
OG0000005	NC_027778.1_00080	MT798582.1_00077
OG0000006	NC_027778.1_00098	MT798582.1_00088
OG0000007	NC_027778.1_00032	MT798582.1_00116
OG0000008	NC_027778.1_00040	MT798582.1_00037
OG0000009	NC_027778.1_00039	MT798582.1_00036
OG0000010	NC_027778.1_00106	MT798582.1_00021
OG0000011	NC_027778.1_00077	MT798582.1_00004
OG0000012	NC_027778.1_00133	MT798582.1_00075
OG0000013	NC_027778.1_00132	MT798582.1_00073
OG0000014	NC_027778.1_00129	MT798582.1_00071
OG0000015	NC_027778.1_00018	MT798582.1_00049
OG0000016	NC_027778.1_00111	MT798582.1_00100
OG0000017	NC_027778.1_00026	MT798582.1_00120
OG0000018	NC_027778.1_00027	MT798582.1_00119
OG0000019	NC_027778.1_00043	MT798582.1_00042
OG0000020	NC_027778.1_00038	MT798582.1_00028
OG0000021	NC_027778.1_00116	MT798582.1_00027
OG0000022	NC_027778.1_00003	MT798582.1_00062
OG0000023	NC_027778.1_00036	MT798582.1_00111
OG0000024	NC_027778.1_00042	MT798582.1_00039
OG0000025	NC_027778.1_00094, NC_027778.1_00095	MT798582.1_00099
OG0000026	NC_027778.1_00029	MT798582.1_00118
OG0000027	NC_027778.1_00006	MT798582.1_00059
OG0000028	NC_027778.1_00108	MT798582.1_00020
OG0000029	NC_027778.1_00021	MT798582.1_00102
OG0000030	NC_027778.1_00088	MT798582.1_00025
OG0000031	NC_027778.1_00100	MT798582.1_00084, MT798582.1_00125
OG0000032	NC_027778.1_00030	MT798582.1_00117
OG0000033	NC_027778.1_00090	MT798582.1_00026
OG0000034	NC_027778.1_00067	MT798582.1_00014
OG0000035	NC_027778.1_00115	MT798582.1_00013
OG0000036	NC_027778.1_00072	MT798582.1_00008
OG0000037	NC_027778.1_00073	MT798582.1_00007
OG0000038	NC_027778.1_00078	MT798582.1_00003
OG0000039	NC_027778.1_00070	MT798582.1_00002
OG0000040	NC_027778.1_00117	MT798582.1_00074
OG0000041	NC_027778.1_00134	MT798582.1_00070
OG0000042	NC_027778.1_00010	MT798582.1_00057
OG0000043	NC_027778.1_00011	MT798582.1_00056
OG0000044	NC_027778.1_00016	MT798582.1_00051
OG0000045	NC_027778.1_00017	MT798582.1_00050
OG0000046	NC_027778.1_00019	MT798582.1_00048
OG0000047	NC_027778.1_00031	MT798582.1_00047
OG0000048	NC_027778.1_00020	MT798582.1_00046
OG0000049	NC_027778.1_00099	MT798582.1_00086
OG0000050	NC_027778.1_00101	MT798582.1_00124
OG0000051	NC_027778.1_00126	MT798582.1_00123
OG0000052	NC_027778.1_00035	MT798582.1_00112
OG0000053	NC_027778.1_00086	MT798582.1_00110
OG0000054	NC_027778.1_00085	MT798582.1_00107
OG0000055	NC_027778.1_00041	MT798582.1_00038
OG0000056	NC_027778.1_00037	MT798582.1_00034
OG0000057	NC_027778.1_00121	MT798582.1_00032
OG0000058	NC_027778.1_00087	MT798582.1_00024
OG0000059	NC_027778.1_00064	MT798582.1_00016
OG0000060	NC_027778.1_00071	MT798582.1_00009
OG0000061	NC_027778.1_00033	MT798582.1_00115
OG0000062	NC_027778.1_00054	MT798582.1_00080
OG0000096	NC_027778.1_00025	MT798582.1_00030
OG0000113	NC_027778.1_00076	MT798582.1_00005
OG0000115	NC_027778.1_00015	MT798582.1_00052
