Orthogroup	AY521625.1	HF920637.1
OG0000000	AY521625.1_00091	HF920637.1_00129, HF920637.1_00164
OG0000001	AY521625.1_00064	HF920637.1_00143
OG0000003	AY521625.1_00077	HF920637.1_00059
OG0000004	AY521625.1_00130	HF920637.1_00159
OG0000005	AY521625.1_00085	HF920637.1_00176, HF920637.1_00175
OG0000006	AY521625.1_00051	HF920637.1_00121
OG0000007	AY521625.1_00016	HF920637.1_00172
OG0000008	AY521625.1_00069, AY521625.1_00070	HF920637.1_00025
OG0000009	AY521625.1_00142	HF920637.1_00153
OG0000010	AY521625.1_00054	HF920637.1_00041
OG0000011	AY521625.1_00110	HF920637.1_00001
OG0000012	AY521625.1_00074	HF920637.1_00031
OG0000013	AY521625.1_00059	HF920637.1_00073
OG0000014	AY521625.1_00065	HF920637.1_00213
OG0000015	AY521625.1_00048	HF920637.1_00017
OG0000016	AY521625.1_00053	HF920637.1_00217
OG0000017	AY521625.1_00086	HF920637.1_00197
OG0000018	AY521625.1_00073	HF920637.1_00079
OG0000019	AY521625.1_00047	HF920637.1_00111
OG0000020	AY521625.1_00115	HF920637.1_00108
OG0000021	AY521625.1_00035	HF920637.1_00152
OG0000022	AY521625.1_00062	HF920637.1_00033
OG0000023	AY521625.1_00100	HF920637.1_00221
OG0000024	AY521625.1_00060	HF920637.1_00203
OG0000137	AY521625.1_00098	HF920637.1_00219
OG0000138	AY521625.1_00102	HF920637.1_00014
OG0000147	AY521625.1_00042	HF920637.1_00061
OG0000148	AY521625.1_00056	HF920637.1_00105
OG0000153	AY521625.1_00126	HF920637.1_00072
OG0000154	AY521625.1_00133	HF920637.1_00060
OG0000161	AY521625.1_00044	HF920637.1_00150
